
[##                                                ] 6% 5-6 | [-90]-[-80] | 11.26 s | join = 401 | tmass = 401 | gaia = 8192| TOP = 50000
[#####                                             ] 11% 5-6 | [-80]-[-70] | 20.29 s | join = 1917 | tmass = 1917 | gaia = 18651| TOP = 50000
[########                                          ] 17% 5-6 | [-70]-[-60] | 24.27 s | join = 1121 | tmass = 1121 | gaia = 22863| TOP = 50000
[###########                                       ] 22% 5-6 | [-60]-[-50] | 23.13 s | join = 1252 | tmass = 1252 | gaia = 22886| TOP = 50000
[#############                                     ] 28% 5-6 | [-50]-[-40] | 22.84 s | join = 1334 | tmass = 1334 | gaia = 23047| TOP = 50000
[################                                  ] 33% 5-6 | [-40]-[-30] | 24.9 s | join = 1399 | tmass = 1399 | gaia = 23001| TOP = 50000
[###################                               ] 39% 5-6 | [-30]-[-20] | 32.7 s | join = 1524 | tmass = 1524 | gaia = 23358| TOP = 50000
[######################                            ] 44% 5-6 | [-20]-[-10] | 36.42 s | join = 1599 | tmass = 1599 | gaia = 24175| TOP = 50000
[#########################                         ] 50% 5-6 | [-10]-[0] | 32.0 s | join = 1803 | tmass = 1803 | gaia = 26396| TOP = 50000
[###########################                       ] 56% 5-6 | [0]-[10] | 29.88 s | join = 1952 | tmass = 1952 | gaia = 29057| TOP = 52792
[##############################                    ] 61% 5-6 | [10]-[20] | 29.05 s | join = 2253 | tmass = 2253 | gaia = 34924| TOP = 58114
[#################################                 ] 67% 5-6 | [20]-[30] | 41.96 s | join = 2903 | tmass = 2903 | gaia = 45049| TOP = 69848
[####################################              ] 72% 5-6 | [30]-[40] | 41.5 s | join = 3765 | tmass = 3765 | gaia = 61058| TOP = 90098
[######################################            ] 78% 5-6 | [40]-[50] | 59.02 s | join = 5423 | tmass = 5423 | gaia = 94578| TOP = 122116
[#########################################         ] 83% 5-6 | [50]-[60] | 78.45 s | join = 9751 | tmass = 9751 | gaia = 135545| TOP = 189156
[############################################      ] 89% 5-6 | [60]-[70] | 66.46 s | join = 10059 | tmass = 10059 | gaia = 108699| TOP = 271090
[###############################################   ] 94% 5-6 | [70]-[80] | 39.41 s | join = 2874 | tmass = 2874 | gaia = 44377| TOP = 217398
[##################################################] 100% 5-6 | [80]-[90] | 23.53 s | join = 519 | tmass = 519 | gaia = 13573| TOP = 88754
[##                                                ] 6% 6-7 | [-90]-[-80] | 17.57 s | join = 406 | tmass = 406 | gaia = 8099| TOP = 50000
[#####                                             ] 11% 6-7 | [-80]-[-70] | 24.24 s | join = 2186 | tmass = 2186 | gaia = 18587| TOP = 50000
[########                                          ] 17% 6-7 | [-70]-[-60] | 21.03 s | join = 1014 | tmass = 1014 | gaia = 22705| TOP = 50000
[###########                                       ] 22% 6-7 | [-60]-[-50] | 20.7 s | join = 1201 | tmass = 1201 | gaia = 22669| TOP = 50000
[#############                                     ] 28% 6-7 | [-50]-[-40] | 25.41 s | join = 1314 | tmass = 1314 | gaia = 23097| TOP = 50000
[################                                  ] 33% 6-7 | [-40]-[-30] | 28.95 s | join = 1438 | tmass = 1438 | gaia = 22748| TOP = 50000
[###################                               ] 39% 6-7 | [-30]-[-20] | 25.55 s | join = 1492 | tmass = 1492 | gaia = 22931| TOP = 50000
[######################                            ] 44% 6-7 | [-20]-[-10] | 23.02 s | join = 1698 | tmass = 1698 | gaia = 24052| TOP = 50000
[#########################                         ] 50% 6-7 | [-10]-[0] | 23.03 s | join = 1713 | tmass = 1713 | gaia = 26534| TOP = 50000
[###########################                       ] 56% 6-7 | [0]-[10] | 34.03 s | join = 2068 | tmass = 2068 | gaia = 29433| TOP = 53068
[##############################                    ] 61% 6-7 | [10]-[20] | 35.18 s | join = 2276 | tmass = 2276 | gaia = 34996| TOP = 58866
[#################################                 ] 67% 6-7 | [20]-[30] | 43.83 s | join = 2752 | tmass = 2752 | gaia = 44639| TOP = 69992
[####################################              ] 72% 6-7 | [30]-[40] | 40.24 s | join = 3686 | tmass = 3686 | gaia = 60021| TOP = 89278
[######################################            ] 78% 6-7 | [40]-[50] | 64.38 s | join = 5453 | tmass = 5453 | gaia = 93372| TOP = 120042
[#########################################         ] 83% 6-7 | [50]-[60] | 84.4 s | join = 9679 | tmass = 9679 | gaia = 135030| TOP = 186744
[############################################      ] 89% 6-7 | [60]-[70] | 66.26 s | join = 10026 | tmass = 10026 | gaia = 108221| TOP = 270060
[###############################################   ] 94% 6-7 | [70]-[80] | 39.24 s | join = 2970 | tmass = 2970 | gaia = 43872| TOP = 216442
[##################################################] 100% 6-7 | [80]-[90] | 16.65 s | join = 534 | tmass = 534 | gaia = 13433| TOP = 87744
[##                                                ] 6% 7-8 | [-90]-[-80] | 20.14 s | join = 374 | tmass = 374 | gaia = 7884| TOP = 50000
[#####                                             ] 11% 7-8 | [-80]-[-70] | 23.24 s | join = 1077 | tmass = 1077 | gaia = 16684| TOP = 50000
[########                                          ] 17% 7-8 | [-70]-[-60] | 23.53 s | join = 1046 | tmass = 1046 | gaia = 21030| TOP = 50000
[###########                                       ] 22% 7-8 | [-60]-[-50] | 26.06 s | join = 1230 | tmass = 1230 | gaia = 22760| TOP = 50000
[#############                                     ] 28% 7-8 | [-50]-[-40] | 22.41 s | join = 1353 | tmass = 1353 | gaia = 23229| TOP = 50000
[################                                  ] 33% 7-8 | [-40]-[-30] | 27.09 s | join = 1447 | tmass = 1447 | gaia = 22803| TOP = 50000
[###################                               ] 39% 7-8 | [-30]-[-20] | 21.22 s | join = 1457 | tmass = 1457 | gaia = 22759| TOP = 50000
[######################                            ] 44% 7-8 | [-20]-[-10] | 25.75 s | join = 1565 | tmass = 1565 | gaia = 23774| TOP = 50000
[#########################                         ] 50% 7-8 | [-10]-[0] | 34.06 s | join = 1801 | tmass = 1801 | gaia = 26459| TOP = 50000
[###########################                       ] 56% 7-8 | [0]-[10] | 38.51 s | join = 1961 | tmass = 1961 | gaia = 29692| TOP = 52918
[##############################                    ] 61% 7-8 | [10]-[20] | 32.46 s | join = 2315 | tmass = 2315 | gaia = 35219| TOP = 59384
[#################################                 ] 67% 7-8 | [20]-[30] | 32.13 s | join = 2744 | tmass = 2744 | gaia = 44331| TOP = 70438
[####################################              ] 72% 7-8 | [30]-[40] | 48.61 s | join = 3550 | tmass = 3550 | gaia = 58877| TOP = 88662
[######################################            ] 78% 7-8 | [40]-[50] | 61.07 s | join = 5361 | tmass = 5361 | gaia = 92020| TOP = 117754
[#########################################         ] 83% 7-8 | [50]-[60] | 85.86 s | join = 9829 | tmass = 9829 | gaia = 133877| TOP = 184040
[############################################      ] 89% 7-8 | [60]-[70] | 82.14 s | join = 10176 | tmass = 10176 | gaia = 108243| TOP = 267754
[###############################################   ] 94% 7-8 | [70]-[80] | 31.45 s | join = 2989 | tmass = 2989 | gaia = 44370| TOP = 216486
[##################################################] 100% 7-8 | [80]-[90] | 16.27 s | join = 536 | tmass = 536 | gaia = 13268| TOP = 88740
[##                                                ] 6% 8-9 | [-90]-[-80] | 19.77 s | join = 409 | tmass = 409 | gaia = 7906| TOP = 50000
[#####                                             ] 11% 8-9 | [-80]-[-70] | 19.43 s | join = 1033 | tmass = 1033 | gaia = 16564| TOP = 50000
[########                                          ] 17% 8-9 | [-70]-[-60] | 31.14 s | join = 1062 | tmass = 1062 | gaia = 20930| TOP = 50000
[###########                                       ] 22% 8-9 | [-60]-[-50] | 27.27 s | join = 1184 | tmass = 1184 | gaia = 22618| TOP = 50000
[#############                                     ] 28% 8-9 | [-50]-[-40] | 23.51 s | join = 1330 | tmass = 1330 | gaia = 22989| TOP = 50000
