
[##                                                ] 6% 240-241 | [-90]-[-80] | 26.11 s | join = 668 | tmass = 668 | gaia = 20023| TOP = 50000000
[#####                                             ] 11% 240-241 | [-80]-[-70] | 65.84 s | join = 3649 | tmass = 3649 | gaia = 87505| TOP = 50000000
[########                                          ] 17% 240-241 | [-70]-[-60] | 98.59 s | join = 15728 | tmass = 15728 | gaia = 106477| TOP = 50000000
[###########                                       ] 22% 240-241 | [-60]-[-50] | 107.88 s | join = 63758 | tmass = 63758 | gaia = 147433| TOP = 50000000
[#############                                     ] 28% 240-241 | [-50]-[-40] | 108.29 s | join = 34024 | tmass = 34024 | gaia = 139251| TOP = 50000000
[################                                  ] 33% 240-241 | [-40]-[-30] | 103.68 s | join = 15223 | tmass = 15223 | gaia = 139257| TOP = 50000000
[###################                               ] 39% 240-241 | [-30]-[-20] | 83.53 s | join = 8970 | tmass = 8970 | gaia = 132956| TOP = 50000000
[######################                            ] 44% 240-241 | [-20]-[-10] | 58.48 s | join = 5486 | tmass = 5486 | gaia = 89951| TOP = 50000000
[#########################                         ] 50% 240-241 | [-10]-[0] | 50.64 s | join = 4138 | tmass = 4138 | gaia = 68612| TOP = 50000000
[###########################                       ] 56% 240-241 | [0]-[10] | 44.95 s | join = 3395 | tmass = 3395 | gaia = 58321| TOP = 50000000
[##############################                    ] 61% 240-241 | [10]-[20] | 45.52 s | join = 2703 | tmass = 2703 | gaia = 51607| TOP = 50000000
[#################################                 ] 67% 240-241 | [20]-[30] | 42.42 s | join = 2285 | tmass = 2285 | gaia = 45885| TOP = 50000000
[####################################              ] 72% 240-241 | [30]-[40] | 42.16 s | join = 2006 | tmass = 2006 | gaia = 41404| TOP = 50000000
[######################################            ] 78% 240-241 | [40]-[50] | 26.74 s | join = 1712 | tmass = 1712 | gaia = 34652| TOP = 50000000
[#########################################         ] 83% 240-241 | [50]-[60] | 35.43 s | join = 1356 | tmass = 1356 | gaia = 27912| TOP = 50000000
[############################################      ] 89% 240-241 | [60]-[70] | 22.64 s | join = 1132 | tmass = 1132 | gaia = 21970| TOP = 50000000
[###############################################   ] 94% 240-241 | [70]-[80] | 19.03 s | join = 776 | tmass = 776 | gaia = 15216| TOP = 50000000
[##################################################] 100% 240-241 | [80]-[90] | 13.65 s | join = 298 | tmass = 298 | gaia = 6460| TOP = 50000000
[##                                                ] 6% 241-242 | [-90]-[-80] | 19.75 s | join = 691 | tmass = 691 | gaia = 19599| TOP = 50000000
[#####                                             ] 11% 241-242 | [-80]-[-70] | 55.27 s | join = 3681 | tmass = 3681 | gaia = 86232| TOP = 50000000
[########                                          ] 17% 241-242 | [-70]-[-60] | 106.24 s | join = 15342 | tmass = 15342 | gaia = 147440| TOP = 50000000
[###########                                       ] 22% 241-242 | [-60]-[-50] | 119.51 s | join = 68295 | tmass = 68295 | gaia = 204778| TOP = 50000000
[#############                                     ] 28% 241-242 | [-50]-[-40] | 127.5 s | join = 38959 | tmass = 38959 | gaia = 180203| TOP = 50000000
[################                                  ] 33% 241-242 | [-40]-[-30] | 105.13 s | join = 16405 | tmass = 16405 | gaia = 184033| TOP = 50000000
[###################                               ] 39% 241-242 | [-30]-[-20] | 81.75 s | join = 9705 | tmass = 9705 | gaia = 138352| TOP = 50000000
[######################                            ] 44% 241-242 | [-20]-[-10] | 66.05 s | join = 5701 | tmass = 5701 | gaia = 92728| TOP = 50000000
[#########################                         ] 50% 241-242 | [-10]-[0] | 45.06 s | join = 4402 | tmass = 4402 | gaia = 71033| TOP = 50000000
[###########################                       ] 56% 241-242 | [0]-[10] | 39.95 s | join = 3535 | tmass = 3535 | gaia = 60629| TOP = 50000000
[##############################                    ] 61% 241-242 | [10]-[20] | 35.99 s | join = 2880 | tmass = 2880 | gaia = 52953| TOP = 50000000
[#################################                 ] 67% 241-242 | [20]-[30] | 39.3 s | join = 2348 | tmass = 2348 | gaia = 46955| TOP = 50000000
[####################################              ] 72% 241-242 | [30]-[40] | 33.34 s | join = 2007 | tmass = 2007 | gaia = 42264| TOP = 50000000
[######################################            ] 78% 241-242 | [40]-[50] | 35.84 s | join = 1684 | tmass = 1684 | gaia = 35318| TOP = 50000000
[#########################################         ] 83% 241-242 | [50]-[60] | 21.62 s | join = 1442 | tmass = 1442 | gaia = 28719| TOP = 50000000
[############################################      ] 89% 241-242 | [60]-[70] | 67.18 s | join = 1150 | tmass = 1150 | gaia = 22630| TOP = 50000000
[###############################################   ] 94% 241-242 | [70]-[80] | 18.0 s | join = 756 | tmass = 756 | gaia = 15414| TOP = 50000000
[##################################################] 100% 241-242 | [80]-[90] | 18.03 s | join = 303 | tmass = 303 | gaia = 6517| TOP = 50000000
[##                                                ] 6% 242-243 | [-90]-[-80] | 19.99 s | join = 733 | tmass = 733 | gaia = 19720| TOP = 50000000
[#####                                             ] 11% 242-243 | [-80]-[-70] | 50.75 s | join = 3578 | tmass = 3578 | gaia = 85016| TOP = 50000000
[########                                          ] 17% 242-243 | [-70]-[-60] | 121.53 s | join = 14784 | tmass = 14784 | gaia = 213581| TOP = 50000000
[###########                                       ] 22% 242-243 | [-60]-[-50] | 140.88 s | join = 67380 | tmass = 67380 | gaia = 258697| TOP = 50000000
[#############                                     ] 28% 242-243 | [-50]-[-40] | 138.83 s | join = 42431 | tmass = 42431 | gaia = 255624| TOP = 50000000
[################                                  ] 33% 242-243 | [-40]-[-30] | 104.54 s | join = 16936 | tmass = 16936 | gaia = 180240| TOP = 50000000
[###################                               ] 39% 242-243 | [-30]-[-20] | 86.51 s | join = 9820 | tmass = 9820 | gaia = 138932| TOP = 50000000
[######################                            ] 44% 242-243 | [-20]-[-10] | 69.06 s | join = 6005 | tmass = 6005 | gaia = 93272| TOP = 50000000
[#########################                         ] 50% 242-243 | [-10]-[0] | 51.3 s | join = 4476 | tmass = 4476 | gaia = 73349| TOP = 50000000
[###########################                       ] 56% 242-243 | [0]-[10] | 41.16 s | join = 3597 | tmass = 3597 | gaia = 63839| TOP = 50000000
[##############################                    ] 61% 242-243 | [10]-[20] | 47.98 s | join = 2967 | tmass = 2967 | gaia = 55367| TOP = 50000000
[#################################                 ] 67% 242-243 | [20]-[30] | 38.14 s | join = 2396 | tmass = 2396 | gaia = 48400| TOP = 50000000
[####################################              ] 72% 242-243 | [30]-[40] | 37.07 s | join = 2090 | tmass = 2090 | gaia = 43399| TOP = 50000000
[######################################            ] 78% 242-243 | [40]-[50] | 27.87 s | join = 1764 | tmass = 1764 | gaia = 36427| TOP = 50000000
[#########################################         ] 83% 242-243 | [50]-[60] | 24.73 s | join = 1429 | tmass = 1429 | gaia = 29549| TOP = 50000000
[############################################      ] 89% 242-243 | [60]-[70] | 25.6 s | join = 1096 | tmass = 1096 | gaia = 23049| TOP = 50000000
[###############################################   ] 94% 242-243 | [70]-[80] | 18.7 s | join = 762 | tmass = 762 | gaia = 15413| TOP = 50000000
[##################################################] 100% 242-243 | [80]-[90] | 14.37 s | join = 342 | tmass = 342 | gaia = 6466| TOP = 50000000
[##                                                ] 6% 243-244 | [-90]-[-80] | 19.6 s | join = 700 | tmass = 700 | gaia = 19687| TOP = 50000000
[#####                                             ] 11% 243-244 | [-80]-[-70] | 50.28 s | join = 3490 | tmass = 3490 | gaia = 83531| TOP = 50000000
[########                                          ] 17% 243-244 | [-70]-[-60] | 124.69 s | join = 13995 | tmass = 13995 | gaia = 224646| TOP = 50000000
[###########                                       ] 22% 243-244 | [-60]-[-50] | 146.11 s | join = 70961 | tmass = 70961 | gaia = 262104| TOP = 50000000
[#############                                     ] 28% 243-244 | [-50]-[-40] | 140.9 s | join = 43919 | tmass = 43919 | gaia = 245728| TOP = 50000000
[################                                  ] 33% 243-244 | [-40]-[-30] | 105.78 s | join = 18110 | tmass = 18110 | gaia = 165839| TOP = 50000000
[###################                               ] 39% 243-244 | [-30]-[-20] | 80.64 s | join = 9997 | tmass = 9997 | gaia = 134436| TOP = 50000000
[######################                            ] 44% 243-244 | [-20]-[-10] | 68.64 s | join = 6165 | tmass = 6165 | gaia = 93569| TOP = 50000000
[#########################                         ] 50% 243-244 | [-10]-[0] | 56.29 s | join = 4799 | tmass = 4799 | gaia = 75023| TOP = 50000000
[###########################                       ] 56% 243-244 | [0]-[10] | 42.09 s | join = 3910 | tmass = 3910 | gaia = 66206| TOP = 50000000
[##############################                    ] 61% 243-244 | [10]-[20] | 37.48 s | join = 3141 | tmass = 3141 | gaia = 57233| TOP = 50000000
[#################################                 ] 67% 243-244 | [20]-[30] | 39.3 s | join = 2512 | tmass = 2512 | gaia = 49856| TOP = 50000000
[####################################              ] 72% 243-244 | [30]-[40] | 33.24 s | join = 2137 | tmass = 2137 | gaia = 44521| TOP = 50000000
[######################################            ] 78% 243-244 | [40]-[50] | 32.73 s | join = 1790 | tmass = 1790 | gaia = 37415| TOP = 50000000
[#########################################         ] 83% 243-244 | [50]-[60] | 26.4 s | join = 1423 | tmass = 1423 | gaia = 29914| TOP = 50000000
[############################################      ] 89% 243-244 | [60]-[70] | 29.61 s | join = 1128 | tmass = 1128 | gaia = 23140| TOP = 50000000
[###############################################   ] 94% 243-244 | [70]-[80] | 26.28 s | join = 820 | tmass = 820 | gaia = 15656| TOP = 50000000
[##################################################] 100% 243-244 | [80]-[90] | 19.74 s | join = 296 | tmass = 296 | gaia = 6505| TOP = 50000000
[##                                                ] 6% 244-245 | [-90]-[-80] | 19.38 s | join = 696 | tmass = 696 | gaia = 19126| TOP = 50000000
[#####                                             ] 11% 244-245 | [-80]-[-70] | 54.15 s | join = 3435 | tmass = 3435 | gaia = 81461| TOP = 50000000
[########                                          ] 17% 244-245 | [-70]-[-60] | 128.29 s | join = 13401 | tmass = 13401 | gaia = 220099| TOP = 50000000
[###########                                       ] 22% 244-245 | [-60]-[-50] | 141.32 s | join = 71708 | tmass = 71708 | gaia = 241732| TOP = 50000000
[#############                                     ] 28% 244-245 | [-50]-[-40] | 146.29 s | join = 52688 | tmass = 52688 | gaia = 237544| TOP = 50000000
[################                                  ] 33% 244-245 | [-40]-[-30] | 100.9 s | join = 19325 | tmass = 19325 | gaia = 159039| TOP = 50000000
[###################                               ] 39% 244-245 | [-30]-[-20] | 70.5 s | join = 9923 | tmass = 9923 | gaia = 125465| TOP = 50000000
[######################                            ] 44% 244-245 | [-20]-[-10] | 69.18 s | join = 6591 | tmass = 6591 | gaia = 92006| TOP = 50000000
[#########################                         ] 50% 244-245 | [-10]-[0] | 47.15 s | join = 4938 | tmass = 4938 | gaia = 76535| TOP = 50000000
[###########################                       ] 56% 244-245 | [0]-[10] | 57.28 s | join = 3871 | tmass = 3871 | gaia = 68286| TOP = 50000000
[##############################                    ] 61% 244-245 | [10]-[20] | 45.25 s | join = 3181 | tmass = 3181 | gaia = 59248| TOP = 50000000
[#################################                 ] 67% 244-245 | [20]-[30] | 35.34 s | join = 2562 | tmass = 2562 | gaia = 51856| TOP = 50000000
[####################################              ] 72% 244-245 | [30]-[40] | 32.49 s | join = 2080 | tmass = 2080 | gaia = 45764| TOP = 50000000
[######################################            ] 78% 244-245 | [40]-[50] | 36.84 s | join = 1789 | tmass = 1789 | gaia = 38106| TOP = 50000000
[#########################################         ] 83% 244-245 | [50]-[60] | 31.08 s | join = 1474 | tmass = 1474 | gaia = 30517| TOP = 50000000
[############################################      ] 89% 244-245 | [60]-[70] | 21.64 s | join = 1126 | tmass = 1126 | gaia = 23514| TOP = 50000000
[###############################################   ] 94% 244-245 | [70]-[80] | 26.87 s | join = 820 | tmass = 820 | gaia = 15873| TOP = 50000000
[##################################################] 100% 244-245 | [80]-[90] | 15.22 s | join = 326 | tmass = 326 | gaia = 6585| TOP = 50000000
[##                                                ] 6% 245-246 | [-90]-[-80] | 19.33 s | join = 655 | tmass = 655 | gaia = 18526| TOP = 50000000
[#####                                             ] 11% 245-246 | [-80]-[-70] | 48.73 s | join = 3343 | tmass = 3343 | gaia = 79664| TOP = 50000000
[########                                          ] 17% 245-246 | [-70]-[-60] | 116.57 s | join = 12848 | tmass = 12848 | gaia = 211777| TOP = 50000000
[###########                                       ] 22% 245-246 | [-60]-[-50] | 141.02 s | join = 65256 | tmass = 65256 | gaia = 253901| TOP = 50000000
[#############                                     ] 28% 245-246 | [-50]-[-40] | 154.43 s | join = 62137 | tmass = 62137 | gaia = 254845| TOP = 50000000
[################                                  ] 33% 245-246 | [-40]-[-30] | 95.5 s | join = 20502 | tmass = 20502 | gaia = 163375| TOP = 50000000
[###################                               ] 39% 245-246 | [-30]-[-20] | 75.04 s | join = 10207 | tmass = 10207 | gaia = 120259| TOP = 50000000
[######################                            ] 44% 245-246 | [-20]-[-10] | 54.55 s | join = 6590 | tmass = 6590 | gaia = 86300| TOP = 50000000
[#########################                         ] 50% 245-246 | [-10]-[0] | 48.39 s | join = 5091 | tmass = 5091 | gaia = 78389| TOP = 50000000
[###########################                       ] 56% 245-246 | [0]-[10] | 48.86 s | join = 4120 | tmass = 4120 | gaia = 70720| TOP = 50000000
[##############################                    ] 61% 245-246 | [10]-[20] | 44.95 s | join = 3294 | tmass = 3294 | gaia = 61974| TOP = 50000000
[#################################                 ] 67% 245-246 | [20]-[30] | 37.42 s | join = 2688 | tmass = 2688 | gaia = 54187| TOP = 50000000
[####################################              ] 72% 245-246 | [30]-[40] | 32.83 s | join = 2220 | tmass = 2220 | gaia = 47298| TOP = 50000000
[######################################            ] 78% 245-246 | [40]-[50] | 29.3 s | join = 1916 | tmass = 1916 | gaia = 39069| TOP = 50000000
[#########################################         ] 83% 245-246 | [50]-[60] | 29.97 s | join = 1526 | tmass = 1526 | gaia = 31106| TOP = 50000000
[############################################      ] 89% 245-246 | [60]-[70] | 20.96 s | join = 1187 | tmass = 1187 | gaia = 23886| TOP = 50000000
[###############################################   ] 94% 245-246 | [70]-[80] | 18.75 s | join = 787 | tmass = 787 | gaia = 16030| TOP = 50000000
[##################################################] 100% 245-246 | [80]-[90] | 20.81 s | join = 307 | tmass = 307 | gaia = 6668| TOP = 50000000
[##                                                ] 6% 246-247 | [-90]-[-80] | 20.22 s | join = 641 | tmass = 641 | gaia = 18473| TOP = 50000000
[#####                                             ] 11% 246-247 | [-80]-[-70] | 52.9 s | join = 3455 | tmass = 3455 | gaia = 77915| TOP = 50000000
[########                                          ] 17% 246-247 | [-70]-[-60] | 113.26 s | join = 12310 | tmass = 12310 | gaia = 203447| TOP = 50000000
[###########                                       ] 22% 246-247 | [-60]-[-50] | 144.68 s | join = 61892 | tmass = 61892 | gaia = 240129| TOP = 50000000
[#############                                     ] 28% 246-247 | [-50]-[-40] | 145.27 s | join = 67386 | tmass = 67386 | gaia = 262095| TOP = 50000000
[################                                  ] 33% 246-247 | [-40]-[-30] | 94.77 s | join = 23686 | tmass = 23686 | gaia = 169299| TOP = 50000000
[###################                               ] 39% 246-247 | [-30]-[-20] | 63.22 s | join = 10366 | tmass = 10366 | gaia = 115592| TOP = 50000000
[######################                            ] 44% 246-247 | [-20]-[-10] | 66.33 s | join = 6610 | tmass = 6610 | gaia = 82009| TOP = 50000000
[#########################                         ] 50% 246-247 | [-10]-[0] | 52.61 s | join = 5219 | tmass = 5219 | gaia = 81354| TOP = 50000000
[###########################                       ] 56% 246-247 | [0]-[10] | 45.15 s | join = 4424 | tmass = 4424 | gaia = 73382| TOP = 50000000
[##############################                    ] 61% 246-247 | [10]-[20] | 38.92 s | join = 3443 | tmass = 3443 | gaia = 64350| TOP = 50000000
[#################################                 ] 67% 246-247 | [20]-[30] | 34.97 s | join = 2702 | tmass = 2702 | gaia = 55728| TOP = 50000000
[####################################              ] 72% 246-247 | [30]-[40] | 32.15 s | join = 2344 | tmass = 2344 | gaia = 48634| TOP = 50000000
[######################################            ] 78% 246-247 | [40]-[50] | 25.76 s | join = 1898 | tmass = 1898 | gaia = 40283| TOP = 50000000
[#########################################         ] 83% 246-247 | [50]-[60] | 24.46 s | join = 1640 | tmass = 1640 | gaia = 31791| TOP = 50000000
[############################################      ] 89% 246-247 | [60]-[70] | 25.71 s | join = 1206 | tmass = 1206 | gaia = 24171| TOP = 50000000
[###############################################   ] 94% 246-247 | [70]-[80] | 17.88 s | join = 808 | tmass = 808 | gaia = 16079| TOP = 50000000
[##################################################] 100% 246-247 | [80]-[90] | 18.09 s | join = 331 | tmass = 331 | gaia = 6651| TOP = 50000000
[##                                                ] 6% 247-248 | [-90]-[-80] | 19.73 s | join = 714 | tmass = 714 | gaia = 18581| TOP = 50000000
[#####                                             ] 11% 247-248 | [-80]-[-70] | 52.81 s | join = 3280 | tmass = 3280 | gaia = 76118| TOP = 50000000
[########                                          ] 17% 247-248 | [-70]-[-60] | 103.76 s | join = 11733 | tmass = 11733 | gaia = 195067| TOP = 50000000
[###########                                       ] 22% 247-248 | [-60]-[-50] | 147.98 s | join = 56840 | tmass = 56840 | gaia = 253914| TOP = 50000000
[#############                                     ] 28% 247-248 | [-50]-[-40] | 166.17 s | join = 73106 | tmass = 73106 | gaia = 253915| TOP = 50000000
[################                                  ] 33% 247-248 | [-40]-[-30] | 113.78 s | join = 26401 | tmass = 26401 | gaia = 179362| TOP = 50000000
[###################                               ] 39% 247-248 | [-30]-[-20] | 74.2 s | join = 10904 | tmass = 10904 | gaia = 119906| TOP = 50000000
[######################                            ] 44% 247-248 | [-20]-[-10] | 53.77 s | join = 6965 | tmass = 6965 | gaia = 85469| TOP = 50000000
[#########################                         ] 50% 247-248 | [-10]-[0] | 49.21 s | join = 5299 | tmass = 5299 | gaia = 84732| TOP = 50000000
[###########################                       ] 56% 247-248 | [0]-[10] | 42.93 s | join = 4273 | tmass = 4273 | gaia = 76272| TOP = 50000000
[##############################                    ] 61% 247-248 | [10]-[20] | 39.72 s | join = 3376 | tmass = 3376 | gaia = 66805| TOP = 50000000
[#################################                 ] 67% 247-248 | [20]-[30] | 36.25 s | join = 2845 | tmass = 2845 | gaia = 57845| TOP = 50000000
[####################################              ] 72% 247-248 | [30]-[40] | 67.34 s | join = 2358 | tmass = 2358 | gaia = 50117| TOP = 50000000
[######################################            ] 78% 247-248 | [40]-[50] | 28.96 s | join = 1933 | tmass = 1933 | gaia = 41008| TOP = 50000000
[#########################################         ] 83% 247-248 | [50]-[60] | 29.83 s | join = 1501 | tmass = 1501 | gaia = 32234| TOP = 50000000
[############################################      ] 89% 247-248 | [60]-[70] | 29.33 s | join = 1172 | tmass = 1172 | gaia = 24394| TOP = 50000000
[###############################################   ] 94% 247-248 | [70]-[80] | 18.07 s | join = 790 | tmass = 790 | gaia = 16123| TOP = 50000000
[##################################################] 100% 247-248 | [80]-[90] | 17.49 s | join = 324 | tmass = 324 | gaia = 6629| TOP = 50000000
[##                                                ] 6% 248-249 | [-90]-[-80] | 18.95 s | join = 625 | tmass = 625 | gaia = 18402| TOP = 50000000
[#####                                             ] 11% 248-249 | [-80]-[-70] | 47.18 s | join = 3144 | tmass = 3144 | gaia = 75071| TOP = 50000000
[########                                          ] 17% 248-249 | [-70]-[-60] | 96.13 s | join = 11243 | tmass = 11243 | gaia = 186975| TOP = 50000000
[###########                                       ] 22% 248-249 | [-60]-[-50] | 147.13 s | join = 51711 | tmass = 51711 | gaia = 286687| TOP = 50000000
