
[################                                  ] 33% 311-312 | [0]-[10] | 175.06 s | join = 77482 | tmass = 77482 | gaia = 329857| TOP = 50000000
[#################################                 ] 67% 311-312 | [10]-[20] | 147.8 s | join = 117613 | tmass = 117613 | gaia = 253854| TOP = 50000000
[##################################################] 100% 311-312 | [20]-[30] | 144.79 s | join = 175141 | tmass = 175141 | gaia = 241597| TOP = 50000000
[################                                  ] 33% 312-313 | [0]-[10] | 131.63 s | join = 74072 | tmass = 74072 | gaia = 229245| TOP = 50000000
[#################################                 ] 67% 312-313 | [10]-[20] | 148.63 s | join = 107100 | tmass = 107100 | gaia = 255592| TOP = 50000000
[##################################################] 100% 312-313 | [20]-[30] | 161.9 s | join = 160536 | tmass = 160536 | gaia = 273132| TOP = 50000000
[################                                  ] 33% 313-314 | [0]-[10] | 141.47 s | join = 68969 | tmass = 68969 | gaia = 237731| TOP = 50000000
[#################################                 ] 67% 313-314 | [10]-[20] | 164.35 s | join = 97225 | tmass = 97225 | gaia = 228001| TOP = 50000000
[##################################################] 100% 313-314 | [20]-[30] | 175.98 s | join = 143575 | tmass = 143575 | gaia = 311170| TOP = 50000000
[################                                  ] 33% 314-315 | [0]-[10] | 142.09 s | join = 74592 | tmass = 74592 | gaia = 250026| TOP = 50000000
[#################################                 ] 67% 314-315 | [10]-[20] | 135.62 s | join = 88965 | tmass = 88965 | gaia = 233174| TOP = 50000000
[##################################################] 100% 314-315 | [20]-[30] | 144.71 s | join = 133539 | tmass = 133539 | gaia = 238673| TOP = 50000000
[################                                  ] 33% 315-316 | [0]-[10] | 141.19 s | join = 68800 | tmass = 68800 | gaia = 260388| TOP = 50000000
[#################################                 ] 67% 315-316 | [10]-[20] | 129.83 s | join = 85163 | tmass = 85163 | gaia = 236513| TOP = 50000000
[##################################################] 100% 315-316 | [20]-[30] | 147.25 s | join = 126354 | tmass = 126354 | gaia = 252123| TOP = 50000000
[################                                  ] 33% 316-317 | [0]-[10] | 136.13 s | join = 54064 | tmass = 54064 | gaia = 234280| TOP = 50000000
[#################################                 ] 67% 316-317 | [10]-[20] | 144.58 s | join = 80343 | tmass = 80343 | gaia = 258885| TOP = 50000000
[##################################################] 100% 316-317 | [20]-[30] | 155.84 s | join = 121442 | tmass = 121442 | gaia = 262419| TOP = 50000000
[################                                  ] 33% 317-318 | [0]-[10] | 132.89 s | join = 56487 | tmass = 56487 | gaia = 222332| TOP = 50000000
[#################################                 ] 67% 317-318 | [10]-[20] | 140.53 s | join = 74457 | tmass = 74457 | gaia = 256972| TOP = 50000000
[##################################################] 100% 317-318 | [20]-[30] | 140.72 s | join = 108555 | tmass = 108555 | gaia = 251664| TOP = 50000000
[################                                  ] 33% 318-319 | [0]-[10] | 121.33 s | join = 54988 | tmass = 54988 | gaia = 217838| TOP = 50000000
[#################################                 ] 67% 318-319 | [10]-[20] | 159.81 s | join = 73308 | tmass = 73308 | gaia = 287857| TOP = 50000000
[##################################################] 100% 318-319 | [20]-[30] | 147.3 s | join = 101942 | tmass = 101942 | gaia = 233862| TOP = 50000000
