
[                                                  ] 1% 330-331 | [-90]-[-89] | 6.76 s | join = 45 | tmass = 45 | gaia = 238| TOP = 50000000
[                                                  ] 1% 330-331 | [-89]-[-88] | 10.82 s | join = 163 | tmass = 163 | gaia = 604| TOP = 50000000
[                                                  ] 2% 330-331 | [-88]-[-87] | 7.61 s | join = 245 | tmass = 245 | gaia = 888| TOP = 50000000
[#                                                 ] 2% 330-331 | [-87]-[-86] | 10.42 s | join = 295 | tmass = 295 | gaia = 1181| TOP = 50000000
[#                                                 ] 3% 330-331 | [-86]-[-85] | 61.1 s | join = 390 | tmass = 390 | gaia = 1536| TOP = 50000000
[#                                                 ] 3% 330-331 | [-85]-[-84] | 13.69 s | join = 484 | tmass = 484 | gaia = 1861| TOP = 50000000
[#                                                 ] 4% 330-331 | [-84]-[-83] | 8.57 s | join = 556 | tmass = 556 | gaia = 2108| TOP = 50000000
[##                                                ] 4% 330-331 | [-83]-[-82] | 8.7 s | join = 569 | tmass = 569 | gaia = 2261| TOP = 50000000
[##                                                ] 5% 330-331 | [-82]-[-81] | 10.73 s | join = 661 | tmass = 661 | gaia = 2462| TOP = 50000000
[##                                                ] 6% 330-331 | [-81]-[-80] | 12.03 s | join = 738 | tmass = 738 | gaia = 2776| TOP = 50000000
[###                                               ] 6% 330-331 | [-80]-[-79] | 52.04 s | join = 776 | tmass = 776 | gaia = 2950| TOP = 50000000
[###                                               ] 7% 330-331 | [-79]-[-78] | 9.15 s | join = 762 | tmass = 762 | gaia = 3023| TOP = 50000000
[###                                               ] 7% 330-331 | [-78]-[-77] | 11.23 s | join = 842 | tmass = 842 | gaia = 3187| TOP = 50000000
[###                                               ] 8% 330-331 | [-77]-[-76] | 9.39 s | join = 895 | tmass = 895 | gaia = 3405| TOP = 50000000
[####                                              ] 8% 330-331 | [-76]-[-75] | 12.14 s | join = 928 | tmass = 928 | gaia = 3685| TOP = 50000000
[####                                              ] 9% 330-331 | [-75]-[-74] | 53.09 s | join = 964 | tmass = 964 | gaia = 3891| TOP = 50000000
[####                                              ] 9% 330-331 | [-74]-[-73] | 16.8 s | join = 968 | tmass = 968 | gaia = 3929| TOP = 50000000
[#####                                             ] 10% 330-331 | [-73]-[-72] | 14.9 s | join = 1012 | tmass = 1012 | gaia = 4150| TOP = 50000000
[#####                                             ] 11% 330-331 | [-72]-[-71] | 12.64 s | join = 1211 | tmass = 1211 | gaia = 4510| TOP = 50000000
[#####                                             ] 11% 330-331 | [-71]-[-70] | 12.42 s | join = 1102 | tmass = 1102 | gaia = 4581| TOP = 50000000
[#####                                             ] 12% 330-331 | [-70]-[-69] | 10.45 s | join = 1178 | tmass = 1178 | gaia = 4650| TOP = 50000000
