
[##                                                ] 6% 65-66 | [-90]-[-80] | 12.57 s | join = 408 | tmass = 408 | gaia = 8864| TOP = 50000
[#####                                             ] 11% 65-66 | [-80]-[-70] | 19.2 s | join = 1057 | tmass = 1057 | gaia = 19499| TOP = 50000
[########                                          ] 17% 65-66 | [-70]-[-60] | 30.94 s | join = 1392 | tmass = 1392 | gaia = 26750| TOP = 50000
[###########                                       ] 22% 65-66 | [-60]-[-50] | 32.59 s | join = 1566 | tmass = 1566 | gaia = 31770| TOP = 53500
[#############                                     ] 28% 65-66 | [-50]-[-40] | 33.67 s | join = 1805 | tmass = 1805 | gaia = 35599| TOP = 63540
[################                                  ] 33% 65-66 | [-40]-[-30] | 38.07 s | join = 2028 | tmass = 2028 | gaia = 38813| TOP = 71198
[###################                               ] 39% 65-66 | [-30]-[-20] | 33.53 s | join = 2381 | tmass = 2381 | gaia = 40924| TOP = 77626
[######################                            ] 44% 65-66 | [-20]-[-10] | 40.57 s | join = 2652 | tmass = 2652 | gaia = 42883| TOP = 81848
[#########################                         ] 50% 65-66 | [-10]-[0] | 35.74 s | join = 3032 | tmass = 3032 | gaia = 45604| TOP = 85766
[###########################                       ] 56% 65-66 | [0]-[10] | 46.51 s | join = 3474 | tmass = 3474 | gaia = 47294| TOP = 91208
[##############################                    ] 61% 65-66 | [10]-[20] | 39.26 s | join = 3933 | tmass = 3933 | gaia = 52664| TOP = 94588
[#################################                 ] 67% 65-66 | [20]-[30] | 51.96 s | join = 5301 | tmass = 5301 | gaia = 68614| TOP = 105328
[####################################              ] 72% 65-66 | [30]-[40] | 73.51 s | join = 7649 | tmass = 7649 | gaia = 87306| TOP = 137228
[######################################            ] 78% 65-66 | [40]-[50] | 74.53 s | join = 11182 | tmass = 11182 | gaia = 98878| TOP = 174612
[#########################################         ] 83% 65-66 | [50]-[60] | 70.78 s | join = 9735 | tmass = 9735 | gaia = 87191| TOP = 197756
[############################################      ] 89% 65-66 | [60]-[70] | 40.94 s | join = 4201 | tmass = 4201 | gaia = 59082| TOP = 174382
[###############################################   ] 94% 65-66 | [70]-[80] | 26.82 s | join = 1789 | tmass = 1789 | gaia = 33118| TOP = 118164
[##################################################] 100% 65-66 | [80]-[90] | 14.64 s | join = 439 | tmass = 439 | gaia = 10869| TOP = 66236
