
[################                                  ] 33% 0-1 | [-60]-[-50] | 63.92 s | join = 10412 | tmass = 10412 | gaia = 30799| TOP = 50000000
[#################################                 ] 67% 0-1 | [-50]-[-40] | 28.61 s | join = 12472 | tmass = 12472 | gaia = 34389| TOP = 50000000
[##################################################] 100% 0-1 | [-40]-[-30] | 33.45 s | join = 12694 | tmass = 12694 | gaia = 36246| TOP = 50000000
[################                                  ] 33% 1-2 | [-60]-[-50] | 31.06 s | join = 10554 | tmass = 10554 | gaia = 39703| TOP = 50000000
[#################################                 ] 67% 1-2 | [-50]-[-40] | 32.56 s | join = 10757 | tmass = 10757 | gaia = 43936| TOP = 50000000
[##################################################] 100% 1-2 | [-40]-[-30] | 39.64 s | join = 12968 | tmass = 12968 | gaia = 47732| TOP = 50000000
[################                                  ] 33% 2-3 | [-60]-[-50] | 30.15 s | join = 9885 | tmass = 9885 | gaia = 39009| TOP = 50000000
[#################################                 ] 67% 2-3 | [-50]-[-40] | 32.72 s | join = 11432 | tmass = 11432 | gaia = 42924| TOP = 50000000
[##################################################] 100% 2-3 | [-40]-[-30] | 36.21 s | join = 12635 | tmass = 12635 | gaia = 47152| TOP = 50000000
[################                                  ] 33% 3-4 | [-60]-[-50] | 34.9 s | join = 9881 | tmass = 9881 | gaia = 38290| TOP = 50000000
[#################################                 ] 67% 3-4 | [-50]-[-40] | 66.54 s | join = 10760 | tmass = 10760 | gaia = 41709| TOP = 50000000
[##################################################] 100% 3-4 | [-40]-[-30] | 34.57 s | join = 11275 | tmass = 11275 | gaia = 45270| TOP = 50000000
[################                                  ] 33% 4-5 | [-60]-[-50] | 42.4 s | join = 10017 | tmass = 10017 | gaia = 37893| TOP = 50000000
[#################################                 ] 67% 4-5 | [-50]-[-40] | 76.71 s | join = 10522 | tmass = 10522 | gaia = 40559| TOP = 50000000
[##################################################] 100% 4-5 | [-40]-[-30] | 34.25 s | join = 11517 | tmass = 11517 | gaia = 44804| TOP = 50000000
[################                                  ] 33% 5-6 | [-60]-[-50] | 35.72 s | join = 9626 | tmass = 9626 | gaia = 37639| TOP = 50000000
[#################################                 ] 67% 5-6 | [-50]-[-40] | 37.49 s | join = 10566 | tmass = 10566 | gaia = 40882| TOP = 50000000
[##################################################] 100% 5-6 | [-40]-[-30] | 39.81 s | join = 12361 | tmass = 12361 | gaia = 45910| TOP = 50000000
[################                                  ] 33% 6-7 | [-60]-[-50] | 59.91 s | join = 9668 | tmass = 9668 | gaia = 37562| TOP = 50000000
[#################################                 ] 67% 6-7 | [-50]-[-40] | 32.3 s | join = 10717 | tmass = 10717 | gaia = 41135| TOP = 50000000
[##################################################] 100% 6-7 | [-40]-[-30] | 37.57 s | join = 12306 | tmass = 12306 | gaia = 45620| TOP = 50000000
[################                                  ] 33% 7-8 | [-60]-[-50] | 30.47 s | join = 9730 | tmass = 9730 | gaia = 38124| TOP = 50000000
[#################################                 ] 67% 7-8 | [-50]-[-40] | 37.38 s | join = 10807 | tmass = 10807 | gaia = 40916| TOP = 50000000
[##################################################] 100% 7-8 | [-40]-[-30] | 40.3 s | join = 11667 | tmass = 11667 | gaia = 44897| TOP = 50000000
[################                                  ] 33% 8-9 | [-60]-[-50] | 31.05 s | join = 9651 | tmass = 9651 | gaia = 37812| TOP = 50000000
[#################################                 ] 67% 8-9 | [-50]-[-40] | 37.25 s | join = 10846 | tmass = 10846 | gaia = 40359| TOP = 50000000
[##################################################] 100% 8-9 | [-40]-[-30] | 35.11 s | join = 11931 | tmass = 11931 | gaia = 44638| TOP = 50000000
[################                                  ] 33% 9-10 | [-60]-[-50] | 80.77 s | join = 9512 | tmass = 9512 | gaia = 37632| TOP = 50000000
[#################################                 ] 67% 9-10 | [-50]-[-40] | 36.72 s | join = 10978 | tmass = 10978 | gaia = 40366| TOP = 50000000
[##################################################] 100% 9-10 | [-40]-[-30] | 39.77 s | join = 11582 | tmass = 11582 | gaia = 43945| TOP = 50000000
[################                                  ] 33% 10-11 | [-60]-[-50] | 32.15 s | join = 9885 | tmass = 9885 | gaia = 37306| TOP = 50000000
[#################################                 ] 67% 10-11 | [-50]-[-40] | 33.02 s | join = 10567 | tmass = 10567 | gaia = 39663| TOP = 50000000
[##################################################] 100% 10-11 | [-40]-[-30] | 34.47 s | join = 11534 | tmass = 11534 | gaia = 43041| TOP = 50000000
[################                                  ] 33% 11-12 | [-60]-[-50] | 37.13 s | join = 9433 | tmass = 9433 | gaia = 37327| TOP = 50000000
[#################################                 ] 67% 11-12 | [-50]-[-40] | 34.44 s | join = 10198 | tmass = 10198 | gaia = 39613| TOP = 50000000
[##################################################] 100% 11-12 | [-40]-[-30] | 33.36 s | join = 10686 | tmass = 10686 | gaia = 42437| TOP = 50000000
[################                                  ] 33% 12-13 | [-60]-[-50] | 83.26 s | join = 9826 | tmass = 9826 | gaia = 38015| TOP = 50000000
[#################################                 ] 67% 12-13 | [-50]-[-40] | 40.77 s | join = 10854 | tmass = 10854 | gaia = 40509| TOP = 50000000
[##################################################] 100% 12-13 | [-40]-[-30] | 42.15 s | join = 10494 | tmass = 10494 | gaia = 42015| TOP = 50000000
[################                                  ] 33% 13-14 | [-60]-[-50] | 37.71 s | join = 9981 | tmass = 9981 | gaia = 38245| TOP = 50000000
[#################################                 ] 67% 13-14 | [-50]-[-40] | 36.6 s | join = 11036 | tmass = 11036 | gaia = 40782| TOP = 50000000
[##################################################] 100% 13-14 | [-40]-[-30] | 43.36 s | join = 10651 | tmass = 10651 | gaia = 42177| TOP = 50000000
[################                                  ] 33% 14-15 | [-60]-[-50] | 31.95 s | join = 10238 | tmass = 10238 | gaia = 38097| TOP = 50000000
[#################################                 ] 67% 14-15 | [-50]-[-40] | 33.21 s | join = 10442 | tmass = 10442 | gaia = 40677| TOP = 50000000
[##################################################] 100% 14-15 | [-40]-[-30] | 39.58 s | join = 11185 | tmass = 11185 | gaia = 42777| TOP = 50000000
[################                                  ] 33% 15-16 | [-60]-[-50] | 52.35 s | join = 9677 | tmass = 9677 | gaia = 37456| TOP = 50000000
[#################################                 ] 67% 15-16 | [-50]-[-40] | 38.26 s | join = 10616 | tmass = 10616 | gaia = 40349| TOP = 50000000
[##################################################] 100% 15-16 | [-40]-[-30] | 49.23 s | join = 10833 | tmass = 10833 | gaia = 42534| TOP = 50000000
[################                                  ] 33% 16-17 | [-60]-[-50] | 38.94 s | join = 9507 | tmass = 9507 | gaia = 37049| TOP = 50000000
[#################################                 ] 67% 16-17 | [-50]-[-40] | 41.82 s | join = 11133 | tmass = 11133 | gaia = 40740| TOP = 50000000
[##################################################] 100% 16-17 | [-40]-[-30] | 55.15 s | join = 10412 | tmass = 10412 | gaia = 42063| TOP = 50000000
[################                                  ] 33% 17-18 | [-60]-[-50] | 35.76 s | join = 9298 | tmass = 9298 | gaia = 37370| TOP = 50000000
[#################################                 ] 67% 17-18 | [-50]-[-40] | 32.41 s | join = 11229 | tmass = 11229 | gaia = 40824| TOP = 50000000
[##################################################] 100% 17-18 | [-40]-[-30] | 42.03 s | join = 10611 | tmass = 10611 | gaia = 42355| TOP = 50000000
[################                                  ] 33% 18-19 | [-60]-[-50] | 54.39 s | join = 9269 | tmass = 9269 | gaia = 36582| TOP = 50000000
[#################################                 ] 67% 18-19 | [-50]-[-40] | 40.61 s | join = 10720 | tmass = 10720 | gaia = 40151| TOP = 50000000
[##################################################] 100% 18-19 | [-40]-[-30] | 38.18 s | join = 11200 | tmass = 11200 | gaia = 42570| TOP = 50000000
[################                                  ] 33% 19-20 | [-60]-[-50] | 74.86 s | join = 9104 | tmass = 9104 | gaia = 35698| TOP = 50000000
[#################################                 ] 67% 19-20 | [-50]-[-40] | 36.56 s | join = 9988 | tmass = 9988 | gaia = 39654| TOP = 50000000
[##################################################] 100% 19-20 | [-40]-[-30] | 39.39 s | join = 11485 | tmass = 11485 | gaia = 42968| TOP = 50000000
[################                                  ] 33% 20-21 | [-60]-[-50] | 30.56 s | join = 9158 | tmass = 9158 | gaia = 35910| TOP = 50000000
[#################################                 ] 67% 20-21 | [-50]-[-40] | 34.01 s | join = 10882 | tmass = 10882 | gaia = 39803| TOP = 50000000
[##################################################] 100% 20-21 | [-40]-[-30] | 37.43 s | join = 10606 | tmass = 10606 | gaia = 42945| TOP = 50000000
[################                                  ] 33% 21-22 | [-60]-[-50] | 81.21 s | join = 9431 | tmass = 9431 | gaia = 36741| TOP = 50000000
[#################################                 ] 67% 21-22 | [-50]-[-40] | 35.27 s | join = 10868 | tmass = 10868 | gaia = 40826| TOP = 50000000
[##################################################] 100% 21-22 | [-40]-[-30] | 33.59 s | join = 11197 | tmass = 11197 | gaia = 42981| TOP = 50000000
[################                                  ] 33% 22-23 | [-60]-[-50] | 30.43 s | join = 9427 | tmass = 9427 | gaia = 36870| TOP = 50000000
[#################################                 ] 67% 22-23 | [-50]-[-40] | 32.46 s | join = 11206 | tmass = 11206 | gaia = 40743| TOP = 50000000
[##################################################] 100% 22-23 | [-40]-[-30] | 39.91 s | join = 10913 | tmass = 10913 | gaia = 42443| TOP = 50000000
[################                                  ] 33% 23-24 | [-60]-[-50] | 35.73 s | join = 9106 | tmass = 9106 | gaia = 36505| TOP = 50000000
[#################################                 ] 67% 23-24 | [-50]-[-40] | 32.38 s | join = 11082 | tmass = 11082 | gaia = 40528| TOP = 50000000
[##################################################] 100% 23-24 | [-40]-[-30] | 83.72 s | join = 11258 | tmass = 11258 | gaia = 42646| TOP = 50000000
[################                                  ] 33% 24-25 | [-60]-[-50] | 34.94 s | join = 8887 | tmass = 8887 | gaia = 36653| TOP = 50000000
[#################################                 ] 67% 24-25 | [-50]-[-40] | 40.59 s | join = 11473 | tmass = 11473 | gaia = 40763| TOP = 50000000
[##################################################] 100% 24-25 | [-40]-[-30] | 41.3 s | join = 11563 | tmass = 11563 | gaia = 43067| TOP = 50000000
[################                                  ] 33% 25-26 | [-60]-[-50] | 83.97 s | join = 9293 | tmass = 9293 | gaia = 37616| TOP = 50000000
