some error
time = 122.12sfail to fetch gaia
some error
time = 61.18sfail to fetch gaia
some error
time = 61.11sfail to fetch gaia
some error
time = 122.35sfail to fetch gaia
some error
time = 122.23sfail to fetch gaia
some error
time = 61.13sfail to fetch gaia
some error
time = 61.25sfail to fetch gaia
some error
time = 115.99sfail to fetch gaia
some error
time = 61.25sfail to fetch gaia
some error
time = 61.25sfail to fetch gaia
some error
time = 61.14sfail to fetch gaia
some error
time = 106.79sfail to fetch gaia
some error
time = 104.16sfail to fetch gaia
some error
time = 61.1sfail to fetch gaia
some error
time = 104.72sfail to fetch gaia
some error
time = 61.12sfail to fetch gaia
too many tries, raise error
some error
time = 61.76sfail to fetch gaia
some error
time = 61.18sfail to fetch gaia
some error
time = 61.21sfail to fetch gaia

[#                                                 ] 3% 255-256 | [-30]-[-29] | 138.77 s | join = 64191 | tmass = 64191 | gaia = 237644| TOP = 50000000
[###                                               ] 7% 255-256 | [-29]-[-28] | 147.46 s | join = 61110 | tmass = 61110 | gaia = 239651| TOP = 50000000
[#####                                             ] 10% 255-256 | [-28]-[-27] | 142.04 s | join = 57373 | tmass = 57373 | gaia = 224799| TOP = 50000000
[######                                            ] 13% 255-256 | [-27]-[-26] | 123.23 s | join = 53798 | tmass = 53798 | gaia = 208448| TOP = 50000000
[########                                          ] 17% 255-256 | [-26]-[-25] | 115.81 s | join = 47512 | tmass = 47512 | gaia = 188014| TOP = 50000000
[##########                                        ] 20% 255-256 | [-25]-[-24] | 117.28 s | join = 42929 | tmass = 42929 | gaia = 170338| TOP = 50000000
[###########                                       ] 23% 255-256 | [-24]-[-23] | 95.25 s | join = 39097 | tmass = 39097 | gaia = 150919| TOP = 50000000
[#############                                     ] 27% 255-256 | [-23]-[-22] | 93.08 s | join = 31875 | tmass = 31875 | gaia = 132017| TOP = 50000000
[###############                                   ] 30% 255-256 | [-22]-[-21] | 82.79 s | join = 32563 | tmass = 32563 | gaia = 125554| TOP = 50000000
[################                                  ] 33% 255-256 | [-21]-[-20] | 74.62 s | join = 30155 | tmass = 30155 | gaia = 120160| TOP = 50000000
[##################                                ] 37% 255-256 | [-20]-[-19] | 91.75 s | join = 27662 | tmass = 27662 | gaia = 109825| TOP = 50000000
[####################                              ] 40% 255-256 | [-19]-[-18] | 64.53 s | join = 24168 | tmass = 24168 | gaia = 97089| TOP = 50000000
[#####################                             ] 43% 255-256 | [-18]-[-17] | 58.95 s | join = 20224 | tmass = 20224 | gaia = 84528| TOP = 50000000
[#######################                           ] 47% 255-256 | [-17]-[-16] | 64.39 s | join = 18741 | tmass = 18741 | gaia = 76073| TOP = 50000000
[#########################                         ] 50% 255-256 | [-16]-[-15] | 45.68 s | join = 16620 | tmass = 16620 | gaia = 67602| TOP = 50000000
[##########################                        ] 53% 255-256 | [-15]-[-14] | 41.7 s | join = 14244 | tmass = 14244 | gaia = 58899| TOP = 50000000
[############################                      ] 57% 255-256 | [-14]-[-13] | 39.12 s | join = 13440 | tmass = 13440 | gaia = 55102| TOP = 50000000
[##############################                    ] 60% 255-256 | [-13]-[-12] | 46.54 s | join = 13556 | tmass = 13556 | gaia = 56044| TOP = 50000000
[###############################                   ] 63% 255-256 | [-12]-[-11] | 36.15 s | join = 14976 | tmass = 14976 | gaia = 55433| TOP = 50000000
[#################################                 ] 67% 255-256 | [-11]-[-10] | 52.36 s | join = 13687 | tmass = 13687 | gaia = 51874| TOP = 50000000
[###################################               ] 70% 255-256 | [-10]-[-9] | 35.9 s | join = 12358 | tmass = 12358 | gaia = 49066| TOP = 50000000
[####################################              ] 73% 255-256 | [-9]-[-8] | 38.01 s | join = 11280 | tmass = 11280 | gaia = 44654| TOP = 50000000
[######################################            ] 77% 255-256 | [-8]-[-7] | 36.61 s | join = 10406 | tmass = 10406 | gaia = 42035| TOP = 50000000
[########################################          ] 80% 255-256 | [-7]-[-6] | 71.59 s | join = 11023 | tmass = 11023 | gaia = 41894| TOP = 50000000
[#########################################         ] 83% 255-256 | [-6]-[-5] | 33.28 s | join = 9746 | tmass = 9746 | gaia = 39473| TOP = 50000000
[###########################################       ] 87% 255-256 | [-5]-[-4] | 30.18 s | join = 9408 | tmass = 9408 | gaia = 37549| TOP = 50000000
[#############################################     ] 90% 255-256 | [-4]-[-3] | 78.48 s | join = 9250 | tmass = 9250 | gaia = 36476| TOP = 50000000
[##############################################    ] 93% 255-256 | [-3]-[-2] | 29.32 s | join = 8782 | tmass = 8782 | gaia = 35312| TOP = 50000000
[################################################  ] 97% 255-256 | [-2]-[-1] | 33.47 s | join = 8686 | tmass = 8686 | gaia = 33699| TOP = 50000000
[##################################################] 100% 255-256 | [-1]-[0] | 29.27 s | join = 8079 | tmass = 8079 | gaia = 32581| TOP = 50000000
[#                                                 ] 3% 256-257 | [-30]-[-29] | 147.74 s | join = 67848 | tmass = 67848 | gaia = 229643| TOP = 50000000
[###                                               ] 7% 256-257 | [-29]-[-28] | 158.4 s | join = 64985 | tmass = 64985 | gaia = 210357| TOP = 50000000
[#####                                             ] 10% 256-257 | [-28]-[-27] | 141.48 s | join = 61518 | tmass = 61518 | gaia = 229072| TOP = 50000000
[######                                            ] 13% 256-257 | [-27]-[-26] | 180.55 s | join = 58368 | tmass = 58368 | gaia = 231182| TOP = 50000000
[########                                          ] 17% 256-257 | [-26]-[-25] | 130.61 s | join = 52737 | tmass = 52737 | gaia = 212082| TOP = 50000000
[##########                                        ] 20% 256-257 | [-25]-[-24] | 118.27 s | join = 48932 | tmass = 48932 | gaia = 196077| TOP = 50000000
[###########                                       ] 23% 256-257 | [-24]-[-23] | 106.34 s | join = 46453 | tmass = 46453 | gaia = 175005| TOP = 50000000
[#############                                     ] 27% 256-257 | [-23]-[-22] | 97.27 s | join = 36370 | tmass = 36370 | gaia = 151470| TOP = 50000000
[###############                                   ] 30% 256-257 | [-22]-[-21] | 94.75 s | join = 37022 | tmass = 37022 | gaia = 142644| TOP = 50000000
[################                                  ] 33% 256-257 | [-21]-[-20] | 83.66 s | join = 35446 | tmass = 35446 | gaia = 137204| TOP = 50000000
[##################                                ] 37% 256-257 | [-20]-[-19] | 78.1 s | join = 32741 | tmass = 32741 | gaia = 126207| TOP = 50000000
[####################                              ] 40% 256-257 | [-19]-[-18] | 68.7 s | join = 28376 | tmass = 28376 | gaia = 110043| TOP = 50000000
[#####################                             ] 43% 256-257 | [-18]-[-17] | 59.8 s | join = 23255 | tmass = 23255 | gaia = 93033| TOP = 50000000
[#######################                           ] 47% 256-257 | [-17]-[-16] | 53.56 s | join = 20676 | tmass = 20676 | gaia = 81278| TOP = 50000000
[#########################                         ] 50% 256-257 | [-16]-[-15] | 50.25 s | join = 18571 | tmass = 18571 | gaia = 72388| TOP = 50000000
[##########################                        ] 53% 256-257 | [-15]-[-14] | 83.81 s | join = 16103 | tmass = 16103 | gaia = 63824| TOP = 50000000
[############################                      ] 57% 256-257 | [-14]-[-13] | 41.81 s | join = 14602 | tmass = 14602 | gaia = 58145| TOP = 50000000
[##############################                    ] 60% 256-257 | [-13]-[-12] | 45.34 s | join = 13815 | tmass = 13815 | gaia = 57307| TOP = 50000000
[###############################                   ] 63% 256-257 | [-12]-[-11] | 42.75 s | join = 14951 | tmass = 14951 | gaia = 57872| TOP = 50000000
[#################################                 ] 67% 256-257 | [-11]-[-10] | 47.95 s | join = 14225 | tmass = 14225 | gaia = 56493| TOP = 50000000
[###################################               ] 70% 256-257 | [-10]-[-9] | 86.81 s | join = 13517 | tmass = 13517 | gaia = 53477| TOP = 50000000
[####################################              ] 73% 256-257 | [-9]-[-8] | 41.25 s | join = 12532 | tmass = 12532 | gaia = 49062| TOP = 50000000
[######################################            ] 77% 256-257 | [-8]-[-7] | 42.81 s | join = 11366 | tmass = 11366 | gaia = 46145| TOP = 50000000
[########################################          ] 80% 256-257 | [-7]-[-6] | 34.05 s | join = 11481 | tmass = 11481 | gaia = 44707| TOP = 50000000
[#########################################         ] 83% 256-257 | [-6]-[-5] | 49.11 s | join = 10815 | tmass = 10815 | gaia = 41801| TOP = 50000000
[###########################################       ] 87% 256-257 | [-5]-[-4] | 37.7 s | join = 10195 | tmass = 10195 | gaia = 39384| TOP = 50000000
[#############################################     ] 90% 256-257 | [-4]-[-3] | 31.36 s | join = 9849 | tmass = 9849 | gaia = 38724| TOP = 50000000
[##############################################    ] 93% 256-257 | [-3]-[-2] | 58.71 s | join = 9646 | tmass = 9646 | gaia = 37737| TOP = 50000000
[################################################  ] 97% 256-257 | [-2]-[-1] | 34.75 s | join = 9238 | tmass = 9238 | gaia = 35763| TOP = 50000000
[##################################################] 100% 256-257 | [-1]-[0] | 33.4 s | join = 8779 | tmass = 8779 | gaia = 35278| TOP = 50000000
[#                                                 ] 3% 257-258 | [-30]-[-29] | 161.73 s | join = 71178 | tmass = 71178 | gaia = 235681| TOP = 50000000
[###                                               ] 7% 257-258 | [-29]-[-28] | 151.01 s | join = 69611 | tmass = 69611 | gaia = 250123| TOP = 50000000
[#####                                             ] 10% 257-258 | [-28]-[-27] | 167.1 s | join = 63586 | tmass = 63586 | gaia = 250901| TOP = 50000000
[######                                            ] 13% 257-258 | [-27]-[-26] | 148.67 s | join = 64407 | tmass = 64407 | gaia = 239512| TOP = 50000000
[########                                          ] 17% 257-258 | [-26]-[-25] | 145.64 s | join = 59169 | tmass = 59169 | gaia = 216427| TOP = 50000000
[##########                                        ] 20% 257-258 | [-25]-[-24] | 124.59 s | join = 53320 | tmass = 53320 | gaia = 209038| TOP = 50000000
[###########                                       ] 23% 257-258 | [-24]-[-23] | 112.89 s | join = 49925 | tmass = 49925 | gaia = 192405| TOP = 50000000
[#############                                     ] 27% 257-258 | [-23]-[-22] | 106.37 s | join = 41561 | tmass = 41561 | gaia = 169256| TOP = 50000000
[###############                                   ] 30% 257-258 | [-22]-[-21] | 140.99 s | join = 39649 | tmass = 39649 | gaia = 157478| TOP = 50000000
[################                                  ] 33% 257-258 | [-21]-[-20] | 98.2 s | join = 38112 | tmass = 38112 | gaia = 151690| TOP = 50000000
[##################                                ] 37% 257-258 | [-20]-[-19] | 141.47 s | join = 35469 | tmass = 35469 | gaia = 141705| TOP = 50000000
[####################                              ] 40% 257-258 | [-19]-[-18] | 78.04 s | join = 32376 | tmass = 32376 | gaia = 126208| TOP = 50000000
[#####################                             ] 43% 257-258 | [-18]-[-17] | 72.26 s | join = 26008 | tmass = 26008 | gaia = 106114| TOP = 50000000
[#######################                           ] 47% 257-258 | [-17]-[-16] | 86.24 s | join = 21942 | tmass = 21942 | gaia = 89723| TOP = 50000000
[#########################                         ] 50% 257-258 | [-16]-[-15] | 53.22 s | join = 19440 | tmass = 19440 | gaia = 79067| TOP = 50000000
[##########################                        ] 53% 257-258 | [-15]-[-14] | 46.94 s | join = 17532 | tmass = 17532 | gaia = 70407| TOP = 50000000
[############################                      ] 57% 257-258 | [-14]-[-13] | 41.63 s | join = 15994 | tmass = 15994 | gaia = 63793| TOP = 50000000
[##############################                    ] 60% 257-258 | [-13]-[-12] | 41.87 s | join = 14564 | tmass = 14564 | gaia = 61180| TOP = 50000000
[###############################                   ] 63% 257-258 | [-12]-[-11] | 47.25 s | join = 15992 | tmass = 15992 | gaia = 61193| TOP = 50000000
[#################################                 ] 67% 257-258 | [-11]-[-10] | 50.92 s | join = 15324 | tmass = 15324 | gaia = 60115| TOP = 50000000
[###################################               ] 70% 257-258 | [-10]-[-9] | 39.13 s | join = 14769 | tmass = 14769 | gaia = 57564| TOP = 50000000
[####################################              ] 73% 257-258 | [-9]-[-8] | 42.1 s | join = 13209 | tmass = 13209 | gaia = 53588| TOP = 50000000
[######################################            ] 77% 257-258 | [-8]-[-7] | 43.87 s | join = 12935 | tmass = 12935 | gaia = 50422| TOP = 50000000
[########################################          ] 80% 257-258 | [-7]-[-6] | 85.84 s | join = 12238 | tmass = 12238 | gaia = 47810| TOP = 50000000
[#########################################         ] 83% 257-258 | [-6]-[-5] | 41.42 s | join = 10960 | tmass = 10960 | gaia = 43797| TOP = 50000000
