
[################                                  ] 33% 300-301 | [30]-[40] | 270.63 s | join = 571091 | tmass = 571091 | gaia = 238996| TOP = 50000000
[#################################                 ] 67% 300-301 | [40]-[50] | 220.77 s | join = 190770 | tmass = 190770 | gaia = 208157| TOP = 50000000
[##################################################] 100% 300-301 | [50]-[60] | 249.09 s | join = 85227 | tmass = 85227 | gaia = 255435| TOP = 50000000
[################                                  ] 33% 301-302 | [30]-[40] | 295.0 s | join = 561837 | tmass = 561837 | gaia = 273466| TOP = 50000000
[#################################                 ] 67% 301-302 | [40]-[50] | 255.98 s | join = 217920 | tmass = 217920 | gaia = 254681| TOP = 50000000
[##################################################] 100% 301-302 | [50]-[60] | 233.89 s | join = 92298 | tmass = 92298 | gaia = 241945| TOP = 50000000some error
time = 45.23sfail to fetch gaia

[################                                  ] 33% 302-303 | [30]-[40] | 314.58 s | join = 547708 | tmass = 547708 | gaia = 277242| TOP = 50000000
[#################################                 ] 67% 302-303 | [40]-[50] | 258.71 s | join = 240177 | tmass = 240177 | gaia = 252724| TOP = 50000000
[##################################################] 100% 302-303 | [50]-[60] | 234.82 s | join = 97076 | tmass = 97076 | gaia = 257854| TOP = 50000000
[################                                  ] 33% 303-304 | [30]-[40] | 329.84 s | join = 524070 | tmass = 524070 | gaia = 271301| TOP = 50000000
[#################################                 ] 67% 303-304 | [40]-[50] | 241.71 s | join = 226899 | tmass = 226899 | gaia = 288951| TOP = 50000000
[##################################################] 100% 303-304 | [50]-[60] | 248.74 s | join = 99734 | tmass = 99734 | gaia = 238742| TOP = 50000000
[################                                  ] 33% 304-305 | [30]-[40] | 252.58 s | join = 479497 | tmass = 479497 | gaia = 259950| TOP = 50000000
[#################################                 ] 67% 304-305 | [40]-[50] | 288.05 s | join = 241594 | tmass = 241594 | gaia = 249984| TOP = 50000000
[##################################################] 100% 304-305 | [50]-[60] | 207.23 s | join = 102799 | tmass = 102799 | gaia = 260741| TOP = 50000000
[################                                  ] 33% 305-306 | [30]-[40] | 360.97 s | join = 472559 | tmass = 472559 | gaia = 365551| TOP = 50000000
[#################################                 ] 67% 305-306 | [40]-[50] | 238.67 s | join = 228784 | tmass = 228784 | gaia = 266843| TOP = 50000000
[##################################################] 100% 305-306 | [50]-[60] | 227.27 s | join = 107691 | tmass = 107691 | gaia = 258003| TOP = 50000000
[################                                  ] 33% 306-307 | [30]-[40] | 325.01 s | join = 381575 | tmass = 381575 | gaia = 249096| TOP = 50000000
[#################################                 ] 67% 306-307 | [40]-[50] | 272.73 s | join = 264234 | tmass = 264234 | gaia = 273379| TOP = 50000000
[##################################################] 100% 306-307 | [50]-[60] | 239.68 s | join = 115322 | tmass = 115322 | gaia = 245151| TOP = 50000000
[################                                  ] 33% 307-308 | [30]-[40] | 245.24 s | join = 343645 | tmass = 343645 | gaia = 255019| TOP = 50000000
[#################################                 ] 67% 307-308 | [40]-[50] | 274.93 s | join = 269397 | tmass = 269397 | gaia = 283857| TOP = 50000000
[##################################################] 100% 307-308 | [50]-[60] | 221.44 s | join = 124187 | tmass = 124187 | gaia = 261690| TOP = 50000000
[################                                  ] 33% 308-309 | [30]-[40] | 238.51 s | join = 313723 | tmass = 313723 | gaia = 237098| TOP = 50000000
[#################################                 ] 67% 308-309 | [40]-[50] | 193.82 s | join = 273005 | tmass = 273005 | gaia = 256204| TOP = 50000000
[##################################################] 100% 308-309 | [50]-[60] | 185.48 s | join = 123582 | tmass = 123582 | gaia = 219088| TOP = 50000000
[################                                  ] 33% 309-310 | [30]-[40] | 254.06 s | join = 304565 | tmass = 304565 | gaia = 241413| TOP = 50000000
[#################################                 ] 67% 309-310 | [40]-[50] | 260.01 s | join = 264013 | tmass = 264013 | gaia = 238135| TOP = 50000000
[##################################################] 100% 309-310 | [50]-[60] | 240.33 s | join = 123229 | tmass = 123229 | gaia = 267147| TOP = 50000000
[################                                  ] 33% 310-311 | [30]-[40] | 292.88 s | join = 305382 | tmass = 305382 | gaia = 266790| TOP = 50000000
[#################################                 ] 67% 310-311 | [40]-[50] | 244.84 s | join = 289952 | tmass = 289952 | gaia = 265851| TOP = 50000000
[##################################################] 100% 310-311 | [50]-[60] | 180.53 s | join = 131928 | tmass = 131928 | gaia = 235390| TOP = 50000000
[################                                  ] 33% 311-312 | [30]-[40] | 216.03 s | join = 335659 | tmass = 335659 | gaia = 272262| TOP = 50000000
[#################################                 ] 67% 311-312 | [40]-[50] | 219.21 s | join = 327066 | tmass = 327066 | gaia = 277580| TOP = 50000000
[##################################################] 100% 311-312 | [50]-[60] | 240.0 s | join = 137842 | tmass = 137842 | gaia = 250773| TOP = 50000000
[################                                  ] 33% 312-313 | [30]-[40] | 235.37 s | join = 309600 | tmass = 309600 | gaia = 232902| TOP = 50000000
[#################################                 ] 67% 312-313 | [40]-[50] | 228.38 s | join = 334405 | tmass = 334405 | gaia = 265521| TOP = 50000000
[##################################################] 100% 312-313 | [50]-[60] | 171.51 s | join = 147079 | tmass = 147079 | gaia = 275902| TOP = 50000000
[################                                  ] 33% 313-314 | [30]-[40] | 216.56 s | join = 288549 | tmass = 288549 | gaia = 266214| TOP = 50000000
[#################################                 ] 67% 313-314 | [40]-[50] | 189.68 s | join = 321287 | tmass = 321287 | gaia = 246553| TOP = 50000000
[##################################################] 100% 313-314 | [50]-[60] | 171.17 s | join = 143152 | tmass = 143152 | gaia = 247908| TOP = 50000000
[################                                  ] 33% 314-315 | [30]-[40] | 254.9 s | join = 264680 | tmass = 264680 | gaia = 315837| TOP = 50000000
[#################################                 ] 67% 314-315 | [40]-[50] | 204.25 s | join = 339557 | tmass = 339557 | gaia = 220062| TOP = 50000000
[##################################################] 100% 314-315 | [50]-[60] | 224.32 s | join = 135630 | tmass = 135630 | gaia = 262438| TOP = 50000000
[################                                  ] 33% 315-316 | [30]-[40] | 183.32 s | join = 243849 | tmass = 243849 | gaia = 244506| TOP = 50000000
[#################################                 ] 67% 315-316 | [40]-[50] | 199.03 s | join = 343637 | tmass = 343637 | gaia = 269646| TOP = 50000000
[##################################################] 100% 315-316 | [50]-[60] | 161.03 s | join = 133064 | tmass = 133064 | gaia = 258049| TOP = 50000000
[################                                  ] 33% 316-317 | [30]-[40] | 176.17 s | join = 219824 | tmass = 219824 | gaia = 263244| TOP = 50000000
[#################################                 ] 67% 316-317 | [40]-[50] | 210.75 s | join = 358406 | tmass = 358406 | gaia = 265141| TOP = 50000000
[##################################################] 100% 316-317 | [50]-[60] | 195.57 s | join = 154295 | tmass = 154295 | gaia = 267435| TOP = 50000000
[################                                  ] 33% 317-318 | [30]-[40] | 202.84 s | join = 212262 | tmass = 212262 | gaia = 237632| TOP = 50000000
[#################################                 ] 67% 317-318 | [40]-[50] | 232.88 s | join = 332163 | tmass = 332163 | gaia = 265564| TOP = 50000000
[##################################################] 100% 317-318 | [50]-[60] | 229.25 s | join = 170744 | tmass = 170744 | gaia = 321157| TOP = 50000000
[################                                  ] 33% 318-319 | [30]-[40] | 160.75 s | join = 194889 | tmass = 194889 | gaia = 203831| TOP = 50000000
[#################################                 ] 67% 318-319 | [40]-[50] | 206.79 s | join = 312224 | tmass = 312224 | gaia = 235690| TOP = 50000000
[##################################################] 100% 318-319 | [50]-[60] | 183.59 s | join = 168426 | tmass = 168426 | gaia = 275902| TOP = 50000000
[################                                  ] 33% 319-320 | [30]-[40] | 168.36 s | join = 177643 | tmass = 177643 | gaia = 219284| TOP = 50000000
[#################################                 ] 67% 319-320 | [40]-[50] | 175.76 s | join = 266233 | tmass = 266233 | gaia = 231367| TOP = 50000000
[##################################################] 100% 319-320 | [50]-[60] | 182.96 s | join = 175852 | tmass = 175852 | gaia = 272194| TOP = 50000000
[################                                  ] 33% 320-321 | [30]-[40] | 193.03 s | join = 162158 | tmass = 162158 | gaia = 229706| TOP = 50000000
[#################################                 ] 67% 320-321 | [40]-[50] | 165.01 s | join = 241915 | tmass = 241915 | gaia = 243213| TOP = 50000000
[##################################################] 100% 320-321 | [50]-[60] | 176.08 s | join = 190839 | tmass = 190839 | gaia = 266410| TOP = 50000000
[################                                  ] 33% 321-322 | [30]-[40] | 155.84 s | join = 147330 | tmass = 147330 | gaia = 241265| TOP = 50000000
[#################################                 ] 67% 321-322 | [40]-[50] | 226.06 s | join = 248294 | tmass = 248294 | gaia = 281932| TOP = 50000000
[##################################################] 100% 321-322 | [50]-[60] | 164.87 s | join = 192747 | tmass = 192747 | gaia = 270927| TOP = 50000000
[################                                  ] 33% 322-323 | [30]-[40] | 158.88 s | join = 145045 | tmass = 145045 | gaia = 255721| TOP = 50000000
[#################################                 ] 67% 322-323 | [40]-[50] | 161.09 s | join = 240631 | tmass = 240631 | gaia = 208563| TOP = 50000000
[##################################################] 100% 322-323 | [50]-[60] | 208.62 s | join = 195433 | tmass = 195433 | gaia = 317703| TOP = 50000000
[################                                  ] 33% 323-324 | [30]-[40] | 169.64 s | join = 134951 | tmass = 134951 | gaia = 222379| TOP = 50000000
[#################################                 ] 67% 323-324 | [40]-[50] | 165.42 s | join = 223714 | tmass = 223714 | gaia = 257996| TOP = 50000000
[##################################################] 100% 323-324 | [50]-[60] | 175.0 s | join = 220620 | tmass = 220620 | gaia = 287838| TOP = 50000000
[################                                  ] 33% 324-325 | [30]-[40] | 158.64 s | join = 108701 | tmass = 108701 | gaia = 228275| TOP = 50000000
[#################################                 ] 67% 324-325 | [40]-[50] | 159.35 s | join = 210354 | tmass = 210354 | gaia = 219544| TOP = 50000000
[##################################################] 100% 324-325 | [50]-[60] | 158.01 s | join = 229195 | tmass = 229195 | gaia = 233872| TOP = 50000000
[################                                  ] 33% 325-326 | [30]-[40] | 148.89 s | join = 107374 | tmass = 107374 | gaia = 239493| TOP = 50000000
[#################################                 ] 67% 325-326 | [40]-[50] | 152.23 s | join = 192878 | tmass = 192878 | gaia = 218931| TOP = 50000000
[##################################################] 100% 325-326 | [50]-[60] | 151.23 s | join = 236717 | tmass = 236717 | gaia = 234974| TOP = 50000000
[################                                  ] 33% 326-327 | [30]-[40] | 152.47 s | join = 98212 | tmass = 98212 | gaia = 244703| TOP = 50000000
[#################################                 ] 67% 326-327 | [40]-[50] | 164.36 s | join = 184832 | tmass = 184832 | gaia = 261690| TOP = 50000000
[##################################################] 100% 326-327 | [50]-[60] | 180.31 s | join = 243253 | tmass = 243253 | gaia = 263505| TOP = 50000000
[################                                  ] 33% 327-328 | [30]-[40] | 202.94 s | join = 90985 | tmass = 90985 | gaia = 307236| TOP = 50000000
[#################################                 ] 67% 327-328 | [40]-[50] | 158.14 s | join = 180105 | tmass = 180105 | gaia = 251661| TOP = 50000000
[##################################################] 100% 327-328 | [50]-[60] | 150.93 s | join = 225542 | tmass = 225542 | gaia = 220981| TOP = 50000000
[################                                  ] 33% 328-329 | [30]-[40] | 150.8 s | join = 88195 | tmass = 88195 | gaia = 254427| TOP = 50000000
[#################################                 ] 67% 328-329 | [40]-[50] | 171.04 s | join = 169179 | tmass = 169179 | gaia = 259773| TOP = 50000000
[##################################################] 100% 328-329 | [50]-[60] | 161.21 s | join = 228775 | tmass = 228775 | gaia = 261967| TOP = 50000000
[################                                  ] 33% 329-330 | [30]-[40] | 160.44 s | join = 87743 | tmass = 87743 | gaia = 282764| TOP = 50000000
[#################################                 ] 67% 329-330 | [40]-[50] | 213.48 s | join = 170124 | tmass = 170124 | gaia = 313326| TOP = 50000000
[##################################################] 100% 329-330 | [50]-[60] | 171.75 s | join = 234332 | tmass = 234332 | gaia = 246787| TOP = 50000000
[################                                  ] 33% 330-331 | [30]-[40] | 147.92 s | join = 86409 | tmass = 86409 | gaia = 258748| TOP = 50000000
[#################################                 ] 67% 330-331 | [40]-[50] | 156.44 s | join = 161494 | tmass = 161494 | gaia = 229219| TOP = 50000000
