
[                                                  ] 1% 300-301 | [-90]-[-89] | 9.42 s | join = 54 | tmass = 54 | gaia = 248| TOP = 50000000
[                                                  ] 1% 300-301 | [-89]-[-88] | 11.69 s | join = 155 | tmass = 155 | gaia = 637| TOP = 50000000
[                                                  ] 2% 300-301 | [-88]-[-87] | 11.48 s | join = 277 | tmass = 277 | gaia = 991| TOP = 50000000
[#                                                 ] 2% 300-301 | [-87]-[-86] | 12.94 s | join = 366 | tmass = 366 | gaia = 1326| TOP = 50000000
[#                                                 ] 3% 300-301 | [-86]-[-85] | 14.92 s | join = 421 | tmass = 421 | gaia = 1698| TOP = 50000000
[#                                                 ] 3% 300-301 | [-85]-[-84] | 9.81 s | join = 524 | tmass = 524 | gaia = 2018| TOP = 50000000
[#                                                 ] 4% 300-301 | [-84]-[-83] | 50.74 s | join = 652 | tmass = 652 | gaia = 2471| TOP = 50000000
[##                                                ] 4% 300-301 | [-83]-[-82] | 14.4 s | join = 749 | tmass = 749 | gaia = 2820| TOP = 50000000
[##                                                ] 5% 300-301 | [-82]-[-81] | 13.19 s | join = 730 | tmass = 730 | gaia = 3002| TOP = 50000000
[##                                                ] 6% 300-301 | [-81]-[-80] | 15.73 s | join = 878 | tmass = 878 | gaia = 3317| TOP = 50000000
[###                                               ] 6% 300-301 | [-80]-[-79] | 16.15 s | join = 920 | tmass = 920 | gaia = 3638| TOP = 50000000
[###                                               ] 7% 300-301 | [-79]-[-78] | 53.74 s | join = 1065 | tmass = 1065 | gaia = 4178| TOP = 50000000
[###                                               ] 7% 300-301 | [-78]-[-77] | 14.75 s | join = 1264 | tmass = 1264 | gaia = 4735| TOP = 50000000
[###                                               ] 8% 300-301 | [-77]-[-76] | 19.73 s | join = 1333 | tmass = 1333 | gaia = 5117| TOP = 50000000
[####                                              ] 8% 300-301 | [-76]-[-75] | 60.8 s | join = 1489 | tmass = 1489 | gaia = 5422| TOP = 50000000
[####                                              ] 9% 300-301 | [-75]-[-74] | 12.67 s | join = 1491 | tmass = 1491 | gaia = 5939| TOP = 50000000
[####                                              ] 9% 300-301 | [-74]-[-73] | 18.46 s | join = 1628 | tmass = 1628 | gaia = 6391| TOP = 50000000
[#####                                             ] 10% 300-301 | [-73]-[-72] | 15.86 s | join = 1624 | tmass = 1624 | gaia = 6463| TOP = 50000000
[#####                                             ] 11% 300-301 | [-72]-[-71] | 20.74 s | join = 1700 | tmass = 1700 | gaia = 6818| TOP = 50000000
[#####                                             ] 11% 300-301 | [-71]-[-70] | 12.21 s | join = 1806 | tmass = 1806 | gaia = 7195| TOP = 50000000
