
[################                                  ] 33% 0-1 | [-30]-[-20] | 31.83 s | join = 13096 | tmass = 13096 | gaia = 36975| TOP = 50000000
[#################################                 ] 67% 0-1 | [-20]-[-10] | 35.69 s | join = 14555 | tmass = 14555 | gaia = 40399| TOP = 50000000
[##################################################] 100% 0-1 | [-10]-[0] | 37.75 s | join = 15732 | tmass = 15732 | gaia = 44523| TOP = 50000000
[################                                  ] 33% 1-2 | [-30]-[-20] | 49.96 s | join = 12772 | tmass = 12772 | gaia = 49990| TOP = 50000000
[#################################                 ] 67% 1-2 | [-20]-[-10] | 46.36 s | join = 14186 | tmass = 14186 | gaia = 53297| TOP = 50000000
[##################################################] 100% 1-2 | [-10]-[0] | 44.97 s | join = 16020 | tmass = 16020 | gaia = 59042| TOP = 50000000
[################                                  ] 33% 2-3 | [-30]-[-20] | 60.25 s | join = 13550 | tmass = 13550 | gaia = 50660| TOP = 50000000
[#################################                 ] 67% 2-3 | [-20]-[-10] | 43.62 s | join = 13802 | tmass = 13802 | gaia = 53475| TOP = 50000000
[##################################################] 100% 2-3 | [-10]-[0] | 40.02 s | join = 14999 | tmass = 14999 | gaia = 57721| TOP = 50000000
[################                                  ] 33% 3-4 | [-30]-[-20] | 68.78 s | join = 13332 | tmass = 13332 | gaia = 48458| TOP = 50000000
[#################################                 ] 67% 3-4 | [-20]-[-10] | 46.09 s | join = 13861 | tmass = 13861 | gaia = 52441| TOP = 50000000
[##################################################] 100% 3-4 | [-10]-[0] | 39.98 s | join = 15371 | tmass = 15371 | gaia = 56677| TOP = 50000000
[################                                  ] 33% 4-5 | [-30]-[-20] | 36.97 s | join = 12619 | tmass = 12619 | gaia = 48021| TOP = 50000000
[#################################                 ] 67% 4-5 | [-20]-[-10] | 84.46 s | join = 13263 | tmass = 13263 | gaia = 51421| TOP = 50000000
[##################################################] 100% 4-5 | [-10]-[0] | 40.57 s | join = 14650 | tmass = 14650 | gaia = 57586| TOP = 50000000
[################                                  ] 33% 5-6 | [-30]-[-20] | 32.8 s | join = 13236 | tmass = 13236 | gaia = 48351| TOP = 50000000
[#################################                 ] 67% 5-6 | [-20]-[-10] | 36.56 s | join = 13361 | tmass = 13361 | gaia = 50212| TOP = 50000000
[##################################################] 100% 5-6 | [-10]-[0] | 40.83 s | join = 14930 | tmass = 14930 | gaia = 56952| TOP = 50000000
[################                                  ] 33% 6-7 | [-30]-[-20] | 41.19 s | join = 12762 | tmass = 12762 | gaia = 47543| TOP = 50000000
[#################################                 ] 67% 6-7 | [-20]-[-10] | 44.44 s | join = 12893 | tmass = 12893 | gaia = 49327| TOP = 50000000
[##################################################] 100% 6-7 | [-10]-[0] | 40.68 s | join = 14896 | tmass = 14896 | gaia = 56264| TOP = 50000000
[################                                  ] 33% 7-8 | [-30]-[-20] | 81.09 s | join = 12531 | tmass = 12531 | gaia = 47658| TOP = 50000000
[#################################                 ] 67% 7-8 | [-20]-[-10] | 40.37 s | join = 12762 | tmass = 12762 | gaia = 49195| TOP = 50000000
[##################################################] 100% 7-8 | [-10]-[0] | 42.13 s | join = 14497 | tmass = 14497 | gaia = 56259| TOP = 50000000
[################                                  ] 33% 8-9 | [-30]-[-20] | 36.78 s | join = 13034 | tmass = 13034 | gaia = 48260| TOP = 50000000
[#################################                 ] 67% 8-9 | [-20]-[-10] | 42.49 s | join = 12766 | tmass = 12766 | gaia = 49908| TOP = 50000000
[##################################################] 100% 8-9 | [-10]-[0] | 41.77 s | join = 14967 | tmass = 14967 | gaia = 56094| TOP = 50000000
[################                                  ] 33% 9-10 | [-30]-[-20] | 35.55 s | join = 12914 | tmass = 12914 | gaia = 48147| TOP = 50000000
[#################################                 ] 67% 9-10 | [-20]-[-10] | 38.97 s | join = 13613 | tmass = 13613 | gaia = 51608| TOP = 50000000
[##################################################] 100% 9-10 | [-10]-[0] | 90.46 s | join = 15909 | tmass = 15909 | gaia = 57184| TOP = 50000000
[################                                  ] 33% 10-11 | [-30]-[-20] | 35.24 s | join = 12370 | tmass = 12370 | gaia = 47056| TOP = 50000000
[#################################                 ] 67% 10-11 | [-20]-[-10] | 37.94 s | join = 13386 | tmass = 13386 | gaia = 51937| TOP = 50000000
[##################################################] 100% 10-11 | [-10]-[0] | 42.35 s | join = 15977 | tmass = 15977 | gaia = 57633| TOP = 50000000
[################                                  ] 33% 11-12 | [-30]-[-20] | 37.05 s | join = 12379 | tmass = 12379 | gaia = 45762| TOP = 50000000
[#################################                 ] 67% 11-12 | [-20]-[-10] | 45.16 s | join = 13239 | tmass = 13239 | gaia = 51773| TOP = 50000000
[##################################################] 100% 11-12 | [-10]-[0] | 40.94 s | join = 15509 | tmass = 15509 | gaia = 56891| TOP = 50000000
[################                                  ] 33% 12-13 | [-30]-[-20] | 33.17 s | join = 11795 | tmass = 11795 | gaia = 45839| TOP = 50000000
[#################################                 ] 67% 12-13 | [-20]-[-10] | 85.0 s | join = 13640 | tmass = 13640 | gaia = 51893| TOP = 50000000
[##################################################] 100% 12-13 | [-10]-[0] | 40.63 s | join = 15207 | tmass = 15207 | gaia = 55921| TOP = 50000000
[################                                  ] 33% 13-14 | [-30]-[-20] | 43.32 s | join = 13300 | tmass = 13300 | gaia = 46491| TOP = 50000000
[#################################                 ] 67% 13-14 | [-20]-[-10] | 51.28 s | join = 13063 | tmass = 13063 | gaia = 51483| TOP = 50000000
[##################################################] 100% 13-14 | [-10]-[0] | 88.08 s | join = 14995 | tmass = 14995 | gaia = 55944| TOP = 50000000
[################                                  ] 33% 14-15 | [-30]-[-20] | 34.42 s | join = 12125 | tmass = 12125 | gaia = 46674| TOP = 50000000
[#################################                 ] 67% 14-15 | [-20]-[-10] | 44.2 s | join = 13659 | tmass = 13659 | gaia = 50663| TOP = 50000000
[##################################################] 100% 14-15 | [-10]-[0] | 87.06 s | join = 14672 | tmass = 14672 | gaia = 55276| TOP = 50000000
[################                                  ] 33% 15-16 | [-30]-[-20] | 42.14 s | join = 12532 | tmass = 12532 | gaia = 46593| TOP = 50000000
[#################################                 ] 67% 15-16 | [-20]-[-10] | 44.25 s | join = 13626 | tmass = 13626 | gaia = 50710| TOP = 50000000
[##################################################] 100% 15-16 | [-10]-[0] | 67.13 s | join = 14678 | tmass = 14678 | gaia = 54669| TOP = 50000000
[################                                  ] 33% 16-17 | [-30]-[-20] | 33.98 s | join = 12517 | tmass = 12517 | gaia = 45736| TOP = 50000000
[#################################                 ] 67% 16-17 | [-20]-[-10] | 43.61 s | join = 13403 | tmass = 13403 | gaia = 50863| TOP = 50000000
[##################################################] 100% 16-17 | [-10]-[0] | 47.09 s | join = 14173 | tmass = 14173 | gaia = 54780| TOP = 50000000
[################                                  ] 33% 17-18 | [-30]-[-20] | 38.83 s | join = 11840 | tmass = 11840 | gaia = 44141| TOP = 50000000
[#################################                 ] 67% 17-18 | [-20]-[-10] | 42.65 s | join = 12898 | tmass = 12898 | gaia = 47926| TOP = 50000000
[##################################################] 100% 17-18 | [-10]-[0] | 53.52 s | join = 14250 | tmass = 14250 | gaia = 53335| TOP = 50000000
[################                                  ] 33% 18-19 | [-30]-[-20] | 39.61 s | join = 11884 | tmass = 11884 | gaia = 44242| TOP = 50000000
[#################################                 ] 67% 18-19 | [-20]-[-10] | 40.48 s | join = 12322 | tmass = 12322 | gaia = 47069| TOP = 50000000
[##################################################] 100% 18-19 | [-10]-[0] | 38.07 s | join = 13985 | tmass = 13985 | gaia = 53023| TOP = 50000000
[################                                  ] 33% 19-20 | [-30]-[-20] | 40.55 s | join = 12563 | tmass = 12563 | gaia = 45864| TOP = 50000000
[#################################                 ] 67% 19-20 | [-20]-[-10] | 41.96 s | join = 12725 | tmass = 12725 | gaia = 49014| TOP = 50000000
[##################################################] 100% 19-20 | [-10]-[0] | 43.65 s | join = 13905 | tmass = 13905 | gaia = 52956| TOP = 50000000
[################                                  ] 33% 20-21 | [-30]-[-20] | 77.67 s | join = 12872 | tmass = 12872 | gaia = 45830| TOP = 50000000
[#################################                 ] 67% 20-21 | [-20]-[-10] | 41.43 s | join = 13046 | tmass = 13046 | gaia = 49064| TOP = 50000000
[##################################################] 100% 20-21 | [-10]-[0] | 46.09 s | join = 13718 | tmass = 13718 | gaia = 52810| TOP = 50000000
[################                                  ] 33% 21-22 | [-30]-[-20] | 38.47 s | join = 12367 | tmass = 12367 | gaia = 45130| TOP = 50000000
[#################################                 ] 67% 21-22 | [-20]-[-10] | 75.03 s | join = 12709 | tmass = 12709 | gaia = 48351| TOP = 50000000
[##################################################] 100% 21-22 | [-10]-[0] | 51.58 s | join = 14483 | tmass = 14483 | gaia = 53144| TOP = 50000000
[################                                  ] 33% 22-23 | [-30]-[-20] | 43.14 s | join = 11732 | tmass = 11732 | gaia = 44498| TOP = 50000000
[#################################                 ] 67% 22-23 | [-20]-[-10] | 48.49 s | join = 12639 | tmass = 12639 | gaia = 47526| TOP = 50000000
[##################################################] 100% 22-23 | [-10]-[0] | 37.73 s | join = 13974 | tmass = 13974 | gaia = 52026| TOP = 50000000
[################                                  ] 33% 23-24 | [-30]-[-20] | 58.85 s | join = 11904 | tmass = 11904 | gaia = 44598| TOP = 50000000
[#################################                 ] 67% 23-24 | [-20]-[-10] | 38.42 s | join = 11850 | tmass = 11850 | gaia = 46799| TOP = 50000000
[##################################################] 100% 23-24 | [-10]-[0] | 45.87 s | join = 13632 | tmass = 13632 | gaia = 51442| TOP = 50000000
[################                                  ] 33% 24-25 | [-30]-[-20] | 43.08 s | join = 11460 | tmass = 11460 | gaia = 45761| TOP = 50000000
[#################################                 ] 67% 24-25 | [-20]-[-10] | 44.46 s | join = 12909 | tmass = 12909 | gaia = 47954| TOP = 50000000
[##################################################] 100% 24-25 | [-10]-[0] | 43.57 s | join = 13874 | tmass = 13874 | gaia = 51870| TOP = 50000000
[################                                  ] 33% 25-26 | [-30]-[-20] | 35.23 s | join = 12738 | tmass = 12738 | gaia = 47153| TOP = 50000000
[#################################                 ] 67% 25-26 | [-20]-[-10] | 49.54 s | join = 13500 | tmass = 13500 | gaia = 49742| TOP = 50000000
[##################################################] 100% 25-26 | [-10]-[0] | 74.07 s | join = 14217 | tmass = 14217 | gaia = 53207| TOP = 50000000
[################                                  ] 33% 26-27 | [-30]-[-20] | 48.09 s | join = 12793 | tmass = 12793 | gaia = 47060| TOP = 50000000
[#################################                 ] 67% 26-27 | [-20]-[-10] | 44.7 s | join = 12386 | tmass = 12386 | gaia = 48327| TOP = 50000000
[##################################################] 100% 26-27 | [-10]-[0] | 40.55 s | join = 14752 | tmass = 14752 | gaia = 53382| TOP = 50000000
[################                                  ] 33% 27-28 | [-30]-[-20] | 38.73 s | join = 12812 | tmass = 12812 | gaia = 46323| TOP = 50000000
[#################################                 ] 67% 27-28 | [-20]-[-10] | 44.41 s | join = 12200 | tmass = 12200 | gaia = 47919| TOP = 50000000
[##################################################] 100% 27-28 | [-10]-[0] | 45.69 s | join = 14306 | tmass = 14306 | gaia = 53679| TOP = 50000000
[################                                  ] 33% 28-29 | [-30]-[-20] | 35.65 s | join = 12235 | tmass = 12235 | gaia = 45187| TOP = 50000000
[#################################                 ] 67% 28-29 | [-20]-[-10] | 53.51 s | join = 12838 | tmass = 12838 | gaia = 48155| TOP = 50000000
[##################################################] 100% 28-29 | [-10]-[0] | 45.68 s | join = 15214 | tmass = 15214 | gaia = 53864| TOP = 50000000
[################                                  ] 33% 29-30 | [-30]-[-20] | 37.05 s | join = 11689 | tmass = 11689 | gaia = 44034| TOP = 50000000
[#################################                 ] 67% 29-30 | [-20]-[-10] | 68.61 s | join = 11611 | tmass = 11611 | gaia = 47286| TOP = 50000000
[##################################################] 100% 29-30 | [-10]-[0] | 38.9 s | join = 15672 | tmass = 15672 | gaia = 54176| TOP = 50000000
[################                                  ] 33% 30-31 | [-30]-[-20] | 33.6 s | join = 11528 | tmass = 11528 | gaia = 43606| TOP = 50000000
[#################################                 ] 67% 30-31 | [-20]-[-10] | 36.94 s | join = 12458 | tmass = 12458 | gaia = 47364| TOP = 50000000
[##################################################] 100% 30-31 | [-10]-[0] | 85.61 s | join = 15799 | tmass = 15799 | gaia = 55425| TOP = 50000000
[################                                  ] 33% 31-32 | [-30]-[-20] | 37.48 s | join = 11290 | tmass = 11290 | gaia = 43510| TOP = 50000000
[#################################                 ] 67% 31-32 | [-20]-[-10] | 44.19 s | join = 12731 | tmass = 12731 | gaia = 47714| TOP = 50000000
[##################################################] 100% 31-32 | [-10]-[0] | 45.09 s | join = 15119 | tmass = 15119 | gaia = 54494| TOP = 50000000
[################                                  ] 33% 32-33 | [-30]-[-20] | 38.6 s | join = 11614 | tmass = 11614 | gaia = 44437| TOP = 50000000
[#################################                 ] 67% 32-33 | [-20]-[-10] | 36.36 s | join = 13357 | tmass = 13357 | gaia = 48184| TOP = 50000000
[##################################################] 100% 32-33 | [-10]-[0] | 39.16 s | join = 14409 | tmass = 14409 | gaia = 53871| TOP = 50000000
[################                                  ] 33% 33-34 | [-30]-[-20] | 37.07 s | join = 12065 | tmass = 12065 | gaia = 45555| TOP = 50000000
[#################################                 ] 67% 33-34 | [-20]-[-10] | 87.65 s | join = 13681 | tmass = 13681 | gaia = 49634| TOP = 50000000
[##################################################] 100% 33-34 | [-10]-[0] | 40.42 s | join = 14969 | tmass = 14969 | gaia = 55556| TOP = 50000000
[################                                  ] 33% 34-35 | [-30]-[-20] | 38.04 s | join = 11612 | tmass = 11612 | gaia = 45198| TOP = 50000000
[#################################                 ] 67% 34-35 | [-20]-[-10] | 49.77 s | join = 13901 | tmass = 13901 | gaia = 50541| TOP = 50000000
[##################################################] 100% 34-35 | [-10]-[0] | 40.56 s | join = 15492 | tmass = 15492 | gaia = 55950| TOP = 50000000
