
[################                                  ] 33% 60-61 | [60]-[70] | 174.85 s | join = 53672 | tmass = 53672 | gaia = 238900| TOP = 50000000
[#################################                 ] 67% 60-61 | [70]-[80] | 58.29 s | join = 17904 | tmass = 17904 | gaia = 78222| TOP = 50000000
[##################################################] 100% 60-61 | [80]-[90] | 26.06 s | join = 4119 | tmass = 4119 | gaia = 20353| TOP = 50000000
[################                                  ] 33% 61-62 | [60]-[70] | 142.98 s | join = 54903 | tmass = 54903 | gaia = 242668| TOP = 50000000
[#################################                 ] 67% 61-62 | [70]-[80] | 56.79 s | join = 17687 | tmass = 17687 | gaia = 76632| TOP = 50000000
[##################################################] 100% 61-62 | [80]-[90] | 68.69 s | join = 3696 | tmass = 3696 | gaia = 19868| TOP = 50000000
[################                                  ] 33% 62-63 | [60]-[70] | 138.81 s | join = 53747 | tmass = 53747 | gaia = 234337| TOP = 50000000
[#################################                 ] 67% 62-63 | [70]-[80] | 59.86 s | join = 17486 | tmass = 17486 | gaia = 75294| TOP = 50000000
[##################################################] 100% 62-63 | [80]-[90] | 25.92 s | join = 3678 | tmass = 3678 | gaia = 19445| TOP = 50000000
[################                                  ] 33% 63-64 | [60]-[70] | 143.84 s | join = 50432 | tmass = 50432 | gaia = 226869| TOP = 50000000
[#################################                 ] 67% 63-64 | [70]-[80] | 56.0 s | join = 17325 | tmass = 17325 | gaia = 76121| TOP = 50000000
[##################################################] 100% 63-64 | [80]-[90] | 29.64 s | join = 3778 | tmass = 3778 | gaia = 19541| TOP = 50000000
[################                                  ] 33% 64-65 | [60]-[70] | 136.77 s | join = 49936 | tmass = 49936 | gaia = 220328| TOP = 50000000
[#################################                 ] 67% 64-65 | [70]-[80] | 62.22 s | join = 17636 | tmass = 17636 | gaia = 77349| TOP = 50000000
[##################################################] 100% 64-65 | [80]-[90] | 69.86 s | join = 3749 | tmass = 3749 | gaia = 19441| TOP = 50000000
[################                                  ] 33% 65-66 | [60]-[70] | 127.62 s | join = 46048 | tmass = 46048 | gaia = 205879| TOP = 50000000
[#################################                 ] 67% 65-66 | [70]-[80] | 99.54 s | join = 17202 | tmass = 17202 | gaia = 74992| TOP = 50000000
[##################################################] 100% 65-66 | [80]-[90] | 18.24 s | join = 3698 | tmass = 3698 | gaia = 19109| TOP = 50000000
[################                                  ] 33% 66-67 | [60]-[70] | 146.99 s | join = 41554 | tmass = 41554 | gaia = 196306| TOP = 50000000
[#################################                 ] 67% 66-67 | [70]-[80] | 56.32 s | join = 16846 | tmass = 16846 | gaia = 72120| TOP = 50000000
[##################################################] 100% 66-67 | [80]-[90] | 21.72 s | join = 3718 | tmass = 3718 | gaia = 18968| TOP = 50000000
