
[################                                  ] 33% 300-301 | [-90]-[-80] | 23.68 s | join = 4806 | tmass = 4806 | gaia = 20832| TOP = 50000000
[#################################                 ] 67% 300-301 | [-80]-[-70] | 63.74 s | join = 14320 | tmass = 14320 | gaia = 54991| TOP = 50000000
[##################################################] 100% 300-301 | [-70]-[-60] | 122.65 s | join = 22136 | tmass = 22136 | gaia = 88895| TOP = 50000000
[################                                  ] 33% 301-302 | [-90]-[-80] | 28.35 s | join = 4533 | tmass = 4533 | gaia = 20531| TOP = 50000000
[#################################                 ] 67% 301-302 | [-80]-[-70] | 41.41 s | join = 14271 | tmass = 14271 | gaia = 54516| TOP = 50000000
[##################################################] 100% 301-302 | [-70]-[-60] | 101.55 s | join = 22804 | tmass = 22804 | gaia = 88599| TOP = 50000000
[################                                  ] 33% 302-303 | [-90]-[-80] | 71.04 s | join = 4585 | tmass = 4585 | gaia = 20257| TOP = 50000000
[#################################                 ] 67% 302-303 | [-80]-[-70] | 44.23 s | join = 14390 | tmass = 14390 | gaia = 53990| TOP = 50000000
[##################################################] 100% 302-303 | [-70]-[-60] | 86.73 s | join = 21965 | tmass = 21965 | gaia = 87632| TOP = 50000000
[################                                  ] 33% 303-304 | [-90]-[-80] | 35.04 s | join = 4547 | tmass = 4547 | gaia = 20054| TOP = 50000000
[#################################                 ] 67% 303-304 | [-80]-[-70] | 120.34 s | join = 13371 | tmass = 13371 | gaia = 53391| TOP = 50000000
[##################################################] 100% 303-304 | [-70]-[-60] | 82.66 s | join = 22454 | tmass = 22454 | gaia = 87157| TOP = 50000000
[################                                  ] 33% 304-305 | [-90]-[-80] | 31.87 s | join = 4488 | tmass = 4488 | gaia = 19510| TOP = 50000000
[#################################                 ] 67% 304-305 | [-80]-[-70] | 62.06 s | join = 13370 | tmass = 13370 | gaia = 52038| TOP = 50000000
[##################################################] 100% 304-305 | [-70]-[-60] | 95.78 s | join = 22047 | tmass = 22047 | gaia = 85730| TOP = 50000000
[################                                  ] 33% 305-306 | [-90]-[-80] | 77.83 s | join = 4387 | tmass = 4387 | gaia = 19031| TOP = 50000000
[#################################                 ] 67% 305-306 | [-80]-[-70] | 52.74 s | join = 13046 | tmass = 13046 | gaia = 51381| TOP = 50000000
[##################################################] 100% 305-306 | [-70]-[-60] | 93.68 s | join = 22514 | tmass = 22514 | gaia = 83777| TOP = 50000000
[################                                  ] 33% 306-307 | [-90]-[-80] | 29.35 s | join = 4433 | tmass = 4433 | gaia = 18830| TOP = 50000000
[#################################                 ] 67% 306-307 | [-80]-[-70] | 55.16 s | join = 12621 | tmass = 12621 | gaia = 50298| TOP = 50000000
[##################################################] 100% 306-307 | [-70]-[-60] | 69.17 s | join = 21952 | tmass = 21952 | gaia = 80898| TOP = 50000000
[################                                  ] 33% 307-308 | [-90]-[-80] | 33.07 s | join = 4548 | tmass = 4548 | gaia = 18924| TOP = 50000000
[#################################                 ] 67% 307-308 | [-80]-[-70] | 90.07 s | join = 12448 | tmass = 12448 | gaia = 48642| TOP = 50000000
[##################################################] 100% 307-308 | [-70]-[-60] | 82.11 s | join = 19503 | tmass = 19503 | gaia = 75298| TOP = 50000000
[################                                  ] 33% 308-309 | [-90]-[-80] | 32.86 s | join = 4481 | tmass = 4481 | gaia = 19091| TOP = 50000000
[#################################                 ] 67% 308-309 | [-80]-[-70] | 58.44 s | join = 12397 | tmass = 12397 | gaia = 48114| TOP = 50000000
[##################################################] 100% 308-309 | [-70]-[-60] | 87.52 s | join = 19092 | tmass = 19092 | gaia = 72770| TOP = 50000000
[################                                  ] 33% 309-310 | [-90]-[-80] | 26.84 s | join = 4486 | tmass = 4486 | gaia = 18986| TOP = 50000000
[#################################                 ] 67% 309-310 | [-80]-[-70] | 59.62 s | join = 12061 | tmass = 12061 | gaia = 47533| TOP = 50000000
[##################################################] 100% 309-310 | [-70]-[-60] | 51.9 s | join = 18848 | tmass = 18848 | gaia = 72852| TOP = 50000000
[################                                  ] 33% 310-311 | [-90]-[-80] | 22.78 s | join = 4459 | tmass = 4459 | gaia = 18822| TOP = 50000000
[#################################                 ] 67% 310-311 | [-80]-[-70] | 63.19 s | join = 12149 | tmass = 12149 | gaia = 46413| TOP = 50000000
[##################################################] 100% 310-311 | [-70]-[-60] | 116.79 s | join = 17977 | tmass = 17977 | gaia = 71830| TOP = 50000000
[################                                  ] 33% 311-312 | [-90]-[-80] | 23.06 s | join = 4427 | tmass = 4427 | gaia = 18708| TOP = 50000000
[#################################                 ] 67% 311-312 | [-80]-[-70] | 39.82 s | join = 12230 | tmass = 12230 | gaia = 46076| TOP = 50000000
[##################################################] 100% 311-312 | [-70]-[-60] | 81.22 s | join = 18995 | tmass = 18995 | gaia = 71228| TOP = 50000000
[################                                  ] 33% 312-313 | [-90]-[-80] | 60.93 s | join = 4283 | tmass = 4283 | gaia = 18459| TOP = 50000000
[#################################                 ] 67% 312-313 | [-80]-[-70] | 51.85 s | join = 11925 | tmass = 11925 | gaia = 45787| TOP = 50000000
[##################################################] 100% 312-313 | [-70]-[-60] | 64.7 s | join = 18745 | tmass = 18745 | gaia = 70866| TOP = 50000000
[################                                  ] 33% 313-314 | [-90]-[-80] | 27.84 s | join = 4371 | tmass = 4371 | gaia = 18389| TOP = 50000000
[#################################                 ] 67% 313-314 | [-80]-[-70] | 49.22 s | join = 11882 | tmass = 11882 | gaia = 44736| TOP = 50000000
[##################################################] 100% 313-314 | [-70]-[-60] | 74.56 s | join = 18176 | tmass = 18176 | gaia = 69101| TOP = 50000000
[################                                  ] 33% 314-315 | [-90]-[-80] | 26.78 s | join = 4454 | tmass = 4454 | gaia = 18282| TOP = 50000000
[#################################                 ] 67% 314-315 | [-80]-[-70] | 51.16 s | join = 10808 | tmass = 10808 | gaia = 43688| TOP = 50000000
[##################################################] 100% 314-315 | [-70]-[-60] | 57.34 s | join = 17879 | tmass = 17879 | gaia = 66677| TOP = 50000000
[################                                  ] 33% 315-316 | [-90]-[-80] | 25.36 s | join = 4219 | tmass = 4219 | gaia = 18100| TOP = 50000000
[#################################                 ] 67% 315-316 | [-80]-[-70] | 70.03 s | join = 11338 | tmass = 11338 | gaia = 43601| TOP = 50000000
[##################################################] 100% 315-316 | [-70]-[-60] | 108.96 s | join = 17647 | tmass = 17647 | gaia = 65838| TOP = 50000000
[################                                  ] 33% 316-317 | [-90]-[-80] | 24.95 s | join = 4509 | tmass = 4509 | gaia = 18176| TOP = 50000000
[#################################                 ] 67% 316-317 | [-80]-[-70] | 51.07 s | join = 11563 | tmass = 11563 | gaia = 43978| TOP = 50000000
[##################################################] 100% 316-317 | [-70]-[-60] | 100.06 s | join = 18011 | tmass = 18011 | gaia = 65807| TOP = 50000000
[################                                  ] 33% 317-318 | [-90]-[-80] | 28.55 s | join = 4374 | tmass = 4374 | gaia = 17835| TOP = 50000000
[#################################                 ] 67% 317-318 | [-80]-[-70] | 48.33 s | join = 10985 | tmass = 10985 | gaia = 43260| TOP = 50000000
[##################################################] 100% 317-318 | [-70]-[-60] | 61.93 s | join = 17785 | tmass = 17785 | gaia = 64480| TOP = 50000000
[################                                  ] 33% 318-319 | [-90]-[-80] | 31.4 s | join = 4195 | tmass = 4195 | gaia = 17473| TOP = 50000000
[#################################                 ] 67% 318-319 | [-80]-[-70] | 62.94 s | join = 11138 | tmass = 11138 | gaia = 42165| TOP = 50000000
[##################################################] 100% 318-319 | [-70]-[-60] | 116.82 s | join = 16217 | tmass = 16217 | gaia = 61517| TOP = 50000000
[################                                  ] 33% 319-320 | [-90]-[-80] | 29.5 s | join = 4086 | tmass = 4086 | gaia = 17258| TOP = 50000000
[#################################                 ] 67% 319-320 | [-80]-[-70] | 59.16 s | join = 10690 | tmass = 10690 | gaia = 41983| TOP = 50000000
[##################################################] 100% 319-320 | [-70]-[-60] | 82.05 s | join = 15092 | tmass = 15092 | gaia = 59604| TOP = 50000000
[################                                  ] 33% 320-321 | [-90]-[-80] | 22.1 s | join = 4134 | tmass = 4134 | gaia = 17182| TOP = 50000000
[#################################                 ] 67% 320-321 | [-80]-[-70] | 53.8 s | join = 10966 | tmass = 10966 | gaia = 41932| TOP = 50000000
[##################################################] 100% 320-321 | [-70]-[-60] | 69.85 s | join = 15789 | tmass = 15789 | gaia = 59673| TOP = 50000000
[################                                  ] 33% 321-322 | [-90]-[-80] | 31.58 s | join = 4191 | tmass = 4191 | gaia = 16806| TOP = 50000000
[#################################                 ] 67% 321-322 | [-80]-[-70] | 78.24 s | join = 10380 | tmass = 10380 | gaia = 41077| TOP = 50000000
[##################################################] 100% 321-322 | [-70]-[-60] | 85.94 s | join = 15644 | tmass = 15644 | gaia = 58959| TOP = 50000000
[################                                  ] 33% 322-323 | [-90]-[-80] | 26.71 s | join = 4043 | tmass = 4043 | gaia = 16455| TOP = 50000000
[#################################                 ] 67% 322-323 | [-80]-[-70] | 47.71 s | join = 10552 | tmass = 10552 | gaia = 40182| TOP = 50000000
[##################################################] 100% 322-323 | [-70]-[-60] | 63.93 s | join = 14699 | tmass = 14699 | gaia = 56485| TOP = 50000000
[################                                  ] 33% 323-324 | [-90]-[-80] | 64.92 s | join = 3987 | tmass = 3987 | gaia = 16418| TOP = 50000000
